domain,type,status
sputniknews.com,bias,mixed
thefederalistpapers.org,bias,mixed
thegatewaypundit.com,bias,mixed
thenewamerican.com,bias,mixed
thenewsdoctors.com,bias,mixed
therealstrategy.com,bias,mixed
thewatchtowers.com,bias,mixed
truepundit.com,bias,mixed
truthandaction.org,bias,mixed
truthkings.com,bias,mixed
truthrevolt.org,bias,mixed
unclesamsmisguidedchildren.com,bias,mixed
unz.com,bias,mixed
usapoliticstoday.com,bias,mixed
usawatchdog.com,bias,mixed
uschronicle.com,bias,mixed
usherald.com,bias,mixed
vdare.com,bias,mixed
veteranstoday.com,bias,mixed
washingtonsblog.com,bias,mixed
wearechange.org,bias,mixed
westernjournalism.com,bias,mixed
winningdemocrats.com,bias,mixed
wnd.com,bias,mixed
worldnewspolitics.com,bias,mixed
youngcons.com,bias,mixed
addictinginfo.org,clickbait,mixed
amplifyingglass.com,clickbait,mixed
amusmentic.com,clickbait,mixed
automotostar.com,clickbait,mixed
bients.com,clickbait,mixed
bigbluevision.org,clickbait,mixed
bipartisanreport.com,clickbait,mixed
blacklistednews.com,clickbait,mixed
bluenationreview.com,clickbait,mixed
breaking911.com,clickbait,mixed
chicksontheright.com,clickbait,mixed
educateinspirechange.org/health,clickbait,mixed
elitereaders.com,clickbait,mixed
heatst.com,clickbait,mixed
indiaarising.com,clickbait,mixed
liberalamerica.org,clickbait,mixed
libertywritersnews.com,clickbait,mixed
lifesitenews.com,clickbait,mixed
lifezette.com,clickbait,mixed
livevote.com,clickbait,mixed
lovethispic.com,clickbait,mixed
notallowedto.com,clickbait,mixed
nymeta.co,clickbait,mixed
occupydemocrats.com,clickbait,mixed
other98.com,clickbait,mixed
politicususa.com,clickbait,mixed
remedydaily.com,clickbait,mixed
topinfopost.com,clickbait,mixed
trueactivist.com,clickbait,mixed
twitchy.com,clickbait,mixed
uslifetoday.com,clickbait,mixed
usuncut.com,clickbait,mixed
viraltube.nl,clickbait,mixed
yournationnews.com,clickbait,mixed
yournewswire.com,clickbait,mixed
21stcenturywire.com,conspiracy,unreliable
82.221.129.208,conspiracy,unreliable
abeldanger.net,conspiracy,unreliable
abovetopsecret.com,conspiracy,unreliable
activistpost.com,conspiracy,unreliable
alt-market.com,conspiracy,unreliable
americanfreepress.net,conspiracy,unreliable
americanreviewer.com,conspiracy,unreliable
angrypatriotmovement.com,conspiracy,unreliable
assassinationscience.com,conspiracy,unreliable
awarenessact.com,conspiracy,unreliable
awdnews.com,conspiracy,unreliable
bb4sp.com,conspiracy,unreliable
blackgenocide.org,conspiracy,unreliable
bullionbullscanada.com,conspiracy,unreliable
canadafreepress.com,conspiracy,unreliable
concisepolitics.com,conspiracy,unreliable
conservativerefocus.com,conspiracy,unreliable
conspiracyplanet.com,conspiracy,unreliable
conspiracywire.com,conspiracy,unreliable
corbettreport.com,conspiracy,unreliable
corbettreport.com,conspiracy,unreliable
countdowntozerotime.com,conspiracy,unreliable
counterpsyops.com,conspiracy,unreliable
cryptogon.com,conspiracy,unreliable
dailyoccupation.com,conspiracy,unreliable
dataasylum.com,conspiracy,unreliable
davidwolfe.com,conspiracy,unreliable
dcclothesline.com,conspiracy,unreliable
disclosuremedia.net,conspiracy,unreliable
dont-tread-on.me,conspiracy,unreliable
dutchsinse.com,conspiracy,unreliable
ebolahoax.com,conspiracy,unreliable
educate-yourself.org,conspiracy,unreliable
electionnightgatekeepers.com,conspiracy,unreliable
endoftheamericandream.com,Conspiracy,unreliable
expose1933.com,conspiracy,unreliable
eyeopening.info,conspiracy,unreliable
familysecuritymatters.org,conspiracy,unreliable
fellowshipoftheminds.com,conspiracy,unreliable
fourwinds10.net,conspiracy,unreliable
fprnradio.com,conspiracy,unreliable
freedomforceinternational.com,conspiracy,unreliable
freedomoutpost.com,conspiracy,unreliable
fromthetrenchesworldreport.com,conspiracy,unreliable
gaia.com,conspiracy,unreliable
gangstergovernment.com,conspiracy,unreliable
globalresearch.ca,conspiracy,unreliable
godlikeproductions.com,conspiracy,unreliable
govtslaves.info,conspiracy,unreliable
greanvillepost.com,conspiracy,unreliable
hangthebankers.com,conspiracy,unreliable
henrymakow.com,conspiracy,unreliable
humansarefree.com,conspiracy,unreliable
illuminati-news.com,conspiracy,unreliable
infiniteunknown.net,conspiracy,unreliable
informationclearinghouse.info,conspiracy,unreliable
infowars.com,conspiracy,unreliable
intellihub.com,conspiracy,unreliable
investmentresearchdynamics.com,conspiracy,unreliable
itccs.org,conspiracy,unreliable
jesus-is-savior.com,conspiracy,unreliable
jihadwatch.org,conspiracy,unreliable
jonesreport.com,conspiracy,unreliable
knowledgeoftoday.org,conspiracy,unreliable
libertymovementradio.com,conspiracy,unreliable
libertytalk.fm,conspiracy,unreliable
libertyvideos.org,conspiracy,unreliable
militianews.com,conspiracy,unreliable
nasamoonhoax.com,conspiracy,unreliable
nationalufocenter.com,conspiracy,unreliable
nationindistress.weebly.com,conspiracy,unreliable
neonnettle.com,conspiracy,unreliable
newstarget.com,conspiracy,unreliable
nodisinfo.com,conspiracy,unreliable
nomorefakenews.com,conspiracy,unreliable
nowtheendbegins.com,conspiracy,unreliable
offgridsurvival.com,conspiracy,unreliable
oilgeopolitics.net,conspiracy,unreliable
pamelageller.com,conspiracy,unreliable
politicalblindspot.com,conspiracy,unreliable
prepperwebsite.com,conspiracy,unreliable
prisonplanet.com,conspiracy,unreliable
prisonplanet.com,conspiracy,unreliable
prisonplanet.tv,conspiracy,unreliable
rense.com,conspiracy,unreliable
rumormillnews.com,conspiracy,unreliable
secretsofthefed.com,conspiracy,unreliable
sentinelblog.com,conspiracy,unreliable
sheepkillers.com,conspiracy,unreliable
shoebat.com,conspiracy,unreliable
silver-coin-investor. com,conspiracy,unreliable
silverbearcafe.com,conspiracy,unreliable
silverdoctors.com,conspiracy,unreliable
silverstealers.net,conspiracy,unreliable
skeptiko.com,conspiracy,unreliable
sonsoflibertyradio.com,conspiracy,unreliable
thedailysheeple.com,conspiracy,unreliable
theeconomiccollapseblog.com,conspiracy,unreliable
theeventchronicle.com,conspiracy,unreliable
theextinctionprotocol.com,conspiracy,unreliable
theforbiddenknowledge.com,conspiracy,unreliable
thelibertybeacon.com,conspiracy,unreliable
themindunleashed.com,conspiracy,unreliable
themindunleashed.org,conspiracy,unreliable
thephaser.com,conspiracy,unreliable
thepoliticalinsider.com,conspiracy,unreliable
truthbroadcastnetwork.com,conspiracy,unreliable
truthfrequencyradio.com,conspiracy,unreliable
ufoholic.com,conspiracy,unreliable
wakeupthesheep.com,conspiracy,unreliable
wakingupwisconsin.com,conspiracy,unreliable
weshapelife.org,conspiracy,unreliable
whatdoesitmean.com,conspiracy,unreliable
whatreallyhappened.com,conspiracy,unreliable
whowhatwhy.org,conspiracy,unreliable
wikispooks.com,conspiracy,unreliable
willyloman.wordpress.com,conspiracy,unreliable
worldtruth.tv,conspiracy,unreliable
x22report.com,conspiracy,unreliable
zerohedge.com,conspiracy,unreliable
zootfeed.com,conspiracy,unreliable
16wmpo.com,fake,mixed
24newsflash.com,fake,mixed
24wpn.com,fake,mixed
70news.wordpress.com,fake,mixed
abcnews.com.co,fake,mixed
abcnewsgo.co,fake,mixed
alternativemediasyndicate.com,fake,mixed
americannews.com,fake,mixed
americanoverlook.com,fake,mixed
americanpoliticnews.co,fake,mixed
americanpresident.co,fake,mixed
amposts.com,fake,mixed
anews24.org/,fake,mixed
anonjekloy.tk,fake,mixed
aurora-news.us,fake,mixed
beforeitsnews.com,fake,mixed
bighairynews.com,fake,mixed
blackinusrancenews.com,fake,mixed
bostonleader.com,fake,mixed
buzzfeedusa.com,fake,mixed
cannasos.com,fake,mixed
cap-news.com,fake,mixed
cbsnews.com.co,fake,mixed
channel-7-news.com,fake,mixed
channel18news.com,fake,mixed
cityworldnews.com,fake,mixed
civictribune.com,fake,mixed
clashdaily.com,fake,mixed
cnnews3.com,fake,mixed
coed.com,fake,mixed
conservativebyte.com,fake,mixed
conservativedailypost.com,fake,mixed
conservativefighters.com,fake,mixed
conservativeflashnews.com,fake,mixed
conservativeinfidel.com,fake,mixed
dailybuzzlive.com,fake,mixed
dailyheadlines.com,fake,mixed
dailyheadlines.net,fake,mixed
dailyinfobox.com,fake,mixed
dailynews10.com,fake,mixed
dailynews5.com,fake,mixed
dailynewsposts.info,fake,mixed
dailysurge.com,fake,mixed
dailyusaupdate.com,fake,mixed
damnleaks.com,fake,mixed
dcgazette.com,fake,mixed
ddemocraticunderground.com,fake,mixed
denverguardian.com,fake,mixed
departed.co,fake,mixed
departedmedia.com,fake,mixed
diyhours.net,fake,mixed
donaldtrumpnews.co,fake,mixed
donaldtrumppotus45.com,fake,mixed
downtrend.com,fake,mixed
drudgereport.com.co,fake,mixed
embols.com,fake,mixed
empirehearland.com,fake,mixed
empireherald.com,fake,mixed
empirenews.net,fake,mixed
empirenews.net,fake,mixed
en-vovle.com,fake,mixed
enabon.com,fake,mixed
enduringvision.com,fake,mixed
enhlive.com,fake,mixed
eutopia.buzz,fake,mixed
fakingnews.com,fake,mixed
fedsalert.com,fake,mixed
flashnewscorner.com,fake,mixed
floridasunpost.com,fake,mixed
freedomdaily.com,fake,mixed
freshdailyreport.com,fake,mixed
givemeliberity01.com,fake,mixed
globalpoliticsnow.com,fake,mixed
goneleft.com,fake,mixed
gopthedailydose.com,fake,mixed
gummypost.com,fake,mixed
healthycareandbeauty.com,fake,mixed
healthyworldhouse.com,fake,mixed
immediatesafety.org,fake,mixed
infostormer.com,fake,mixed
interestingdailynews.com,fake,mixed
intrendtoday.com,fake,mixed
itaglive.com,fake,mixed
itmakessenseblog.com,fake,mixed
iwanttoexplore.com,fake,mixed
kmt11.com,fake,mixed
konkonsagh.biz,fake,mixed
krbcnews.com,fake,mixed
ky12news.com,fake,mixed
ladylibertynews.com,fake,mixed
lastdeplorables.com,fake,mixed
learnprogress.org,fake,mixed
liberalplug.com,fake,mixed
libertyalliance.com,fake,mixed
libertyblitzkrieg.com,fake,mixed
local31news.com,fake,mixed
madworldnews.com,fake,mixed
maganews.co,fake,mixed
majorthoughts.com,fake,mixed
mediamass.net,fake,mixed
megynkelly.us,fake,mixed
mentor2day.com,fake,mixed
metropolitanworlds.com,fake,mixed
mpidailymagazine.com,fake,mixed
mrconservative.com,fake,mixed
msnbc.website,fake,mixed
myfreshnews.com,fake,mixed
myzonetoday.com,fake,mixed
nationonenews.com,fake,mixed
nbc.com.co,fake,mixed
nephef.com,fake,mixed
newpoliticstoday.com,fake,mixed
news4ktla.com,fake,mixed
newsbbc.net,fake,mixed
newsbreakshere.com,fake,mixed
newsbysquad.com,fake,mixed
newsdaily12.com,fake,mixed
newsexaminer.net,fake,mixed
newsfrompolitics.com,fake,mixed
newsleak.co,fake,mixed
newslo.com,fake,mixed
newsmagazine.com,fake,mixed
newswatch28.com,fake,mixed
newswatch33.com,fake,mixed
newswithviews.com,fake,mixed
now8news.com,fake,mixed
onepoliticalplaza.com,fake,mixed
onlineconservativepress.com,fake,mixed
openmagazines.com,fake,mixed
pakalertpress.com,fake,mixed
politicalo.com,fake,mixed
politicalsitenews.com,fake,mixed
politicalupdator.com,fake,mixed
politicono.com,fake,mixed
politicsusanews.com,fake,mixed
president45donaldtrump.com,fake,mixed
prntly.com,fake,mixed
proamericanews.com,fake,mixed
proudcons.com,fake,mixed
react365.com,fake,mixed
realnewsrightnow.com,fake,mixed
redcountry.us,fake,mixed
redrocktribune.com,fake,mixed
religionmind.com,fake,mixed
rhotv.com,fake,mixed
rickwells.us,fake,mixed
rilenews.com,fake,mixed
rogue-nation3.com,fake,mixed
rumorjournal.com,fake,mixed
smag31.com,fake,mixed
socialeverythings.com,fake,mixed
stormcloudsgathering.com,fake,mixed
subjectpolitics.com,fake,mixed
success-street.com,fake,mixed
supremepatriot.com,fake,mixed
tdtalliance.com,fake,mixed
teaparty.org,fake,mixed
thatviralfeed.net,fake,mixed
the-insider.co,fake,mixed
theamericanindependent.wordpress.com,fake,mixed
thebigriddle.com,fake,mixed
thebostontribune.com,fake,mixed
thecommonsenseshow.com,fake,mixed
thecontroversialfiles.net,fake,mixed
thefreepatriot.org,fake,mixed
theinternetpost.net,fake,mixed
thelastgreatstand.com,fake,mixed
themoralofthestory.us,fake,mixed
thenet24h.com,fake,mixed
thenewyorkevening.com,fake,mixed
theracketreport.com,fake,mixed
thereporterz.com,fake,mixed
therightscoop.com,fake,mixed
thetrumpmedia.com,fake,mixed
thetruthdivision.com,fake,mixed
thetruthseeker.co.uk,fake,mixed
theusa-news.com,fake,mixed
thewashingtonpress.com,fake,mixed
threepercenternation.com,fake,mixed
times.com.mx,fake,mixed
tmzworldnews.com,fake,mixed
trueamericans.me,fake,mixed
truetrumpers.com,fake,mixed
trumpvision365.com,fake,mixed
undergroundnewsreport.com,fake,mixed
undergroundworldnews.com,fake,mixed
unitedmediapublishing.com,fake,mixed
universepolitics.com,fake,mixed
usa-radio.com,fake,mixed
usa-television.com,fake,mixed
usa2016elections.com,fake,mixed
usadailyinfo.com,fake,mixed
usadailypolitics.com,fake,mixed
usadailytime.com,fake,mixed
usadosenews.com,fake,mixed
usafirstinformation.com,fake,mixed
usahitman.com,fake,mixed
usainfobox.com,fake,mixed
usamagazinestudio.com,fake,mixed
usanewsflash.com,fake,mixed
usanewsinsider.com,fake,mixed
usanewspolitics.com,fake,mixed
usanewstoday.com,fake,mixed
usaonlinepolitics.com,fake,mixed
usaphase.com,fake,mixed
usapolitics24hrs.com,fake,mixed
usapoliticsnow.com,fake,mixed
usapoliticszone.com,fake,mixed
usasnich.com,fake,mixed
usasupreme.com,fake,mixed
usatoday.com.co,fake,mixed
usatodaynews.me,fake,mixed
usatwentyfour.com,fake,mixed
usconservativetoday.com,fake,mixed
usfanzone.com,fake,mixed
ushealthyadvisor.com,fake,mixed
ushealthylife.com,fake,mixed
usinfonews.com,fake,mixed
uspoliticslive.com,fake,mixed
uspoln.com,fake,mixed
uspostman.com,fake,mixed
vigilantcitizen.com,fake,mixed
viralactions.com,fake,mixed
viralliberty.com,fake,mixed
voxtribune.com,fake,mixed
washingtonfed.com,fake,mixed
washingtonpost.com.co,fake,mixed
webdaily.com,fake,mixed
weeklyworldnews.com,fake,mixed
worldpoliticsus.com,fake,mixed
worldrumor.com,fake,mixed
worldstoriestoday.com,fake,mixed
wtoe5news.com,fake,mixed
yesimright.com,fake,mixed
yourfunpage.com,fake,mixed
worldpoliticsnow.com,fake ,mixed
farmwars.info,fake news,unreliable
actforamerica.org/news,hate,unreliable
adflegal.org/media,hate,unreliable
americanborderpatrol.com,hate,unreliable
amren.com,hate,unreliable
amren.com,hate,unreliable
aryannationswordwide1488.org,hate,unreliable
barenakedislam.com,hate,unreliable
barnesreview.org,hate,unreliable
bigbluevision.com,hate,unreliable
centerforsecuritypolicy.org/#articles,hate,unreliable
christianfightback.com,hate,unreliable
creativitymovement.net/category/news/,hate,unreliable
dailyken.com,hate,unreliable
dailystormer.com,hate,unreliable
darkmoon.me,hate,unreliable
davidduke.com,hate,unreliable
drrichswier.com,hate,unreliable
eutimes.net,hate,unreliable
gatesofvienna.net,hate,unreliable
glaringhypocrisy.com,hate,unreliable
ihr.org,hate,unreliable
libertyfederation.com,hate,unreliable
nationalvanguard.org,hate,unreliable
npiamerica.org,hate,unreliable
returnofkings.com,hate,unreliable
themuslimissue.wordpress.com,hate,unreliable
therightstuff.biz,hate,unreliable
truthfeed.com,hate,unreliable
whitepower.com,hate,unreliable
americankabuki.blogspot.com,junksci,mixed
ancient-code.com,junksci,mixed
checkoutthehealthyworld.com,junksci,mixed
collective-evolution.com,junksci,mixed
collectivelyconscious.net,junksci,mixed
consciouslifenews.com,junksci,mixed
dineal.com,junksci,mixed
ewao.com,junksci,mixed
experimentalvaccines.org,junksci,mixed
foodbabe.com,junksci,mixed
galacticconnection.com,junksci,mixed
geoengineeringwatch.org,junksci,mixed
greenmedinfo.com,junksci,mixed
healthimpactnews.com,junksci,mixed
healthnutnews.com,junksci,mixed
healthy-holistic-living.com,junksci,mixed
icr.org,junksci,mixed
in5d.com,junksci,mixed
lifeprevention.com,junksci,mixed
naturalblaze.com,junksci,mixed
naturalnews.com,junksci,mixed
naturalnewsblogs.com,junksci,mixed
rawforbeauty.com,junksci,mixed
realfarmacy.com,junksci,mixed
realplanetnews.com,junksci,mixed
responsibletechnology.org,junksci,mixed
revolutions2040.com,junksci,mixed
thetruthaboutcancer.com,junksci,mixed
thetruthwins.com,junksci,mixed
wakingtimes.com,junksci,mixed
whydontyoutrythis.com,junksci,mixed
worldwidehealthy.com,junksci,mixed
dailyleak.org,satire,mixed
advocate.com,political,mixed
alternet.org,political,mixed
americannewsx.com,political,mixed
americanprogress.org,political,mixed
attn.com,political,mixed
baptistnews.com,political,mixed
breitbart.com,political,mixed
cato.org/blog,political,mixed
chroniclesmagazine.org,political,mixed
city-journal.org,political,mixed
commentarymagazine.com,political,mixed
commondreams.org,political,mixed
conservativereview.com,political,mixed
countercurrents.org,political,mixed
counterinformation.wordpress.com,political,mixed
counterpunch.com,political,mixed
counterpunch.org,political,mixed
dailycaller.com,political,mixed
dailykos.com,political,mixed
davidstockmanscontracorner.com,political,mixed
deadlinelive.info,political,mixed
dennismichaellynch.com,political,mixed
dissentmagazine.org,political,mixed
drudgereport.com,political,mixed
economicnoise.com,political,mixed
ecowatch.com,political,mixed
emptywheel.net,political,mixed
filmsforaction.org,political,mixed
foreignpolicyjournal.com,political,mixed
freedomworks.org,political,mixed
fusion.net,political,mixed
geopolmonitor.com,political,mixed
guardianlv.com,political,mixed
heritage.org,political,mixed
ijr.com,political,mixed
jackpineradicals.com,political,mixed
jacobinmag.com,political,mixed
judicialwatch.org,political,mixed
mintpressnews.com,political,mixed
mrc.org,political,mixed
nakedcapitalism.com,political,mixed
nationalreview.com,political,mixed
newcoldwar.org,political,mixed
newscorpse.com,political,mixed
oann.com,political,mixed
observer.com,political,mixed
occupy.com,political,mixed
pjmedia.com,political,mixed
presidentialvoting2016.com,political,mixed
proudemocrat.com,political,mixed
rawstory.com,political,mixed
redstate.com,political,mixed
resistancereport.com,political,mixed
rinf.com,political,mixed
ronpaulinstitute.org,political,mixed
ruptly.tv,political,mixed
theblaze.com,political,mixed
thedailybeast.com,political,mixed
thefifthcolumnnews.com,political,mixed
theintercept.com,political,mixed
thinkprogress.org,political,mixed
tomwoods.com,political,mixed
washingtonexaminer.com,political,mixed
weeklystandard.com,political,mixed
yellowhammernews.com,political,mixed
christianpost.com,reliable,reliable
consortiumnews.com,reliable,reliable
nutritionfacts.org,reliable,reliable
americantoday.news,rumor,mixed
amtvmedia.com,rumor,mixed
bigbluedimension.com,rumor,mixed
christiantimesnewspaper.com,rumor,mixed
express.co.uk,rumor,mixed
loanpride.com,rumor,mixed
magafeed.com,rumor,mixed
mediazone.news,rumor,mixed
megafreshnews.com,rumor,mixed
newswire-24.com,rumor,mixed
pollhype.com,rumor ,mixed
abriluno.com,satire,mixed
aceflashman.wordpress.com,satire,mixed
actualidadpanamericana.com,satire,mixed
adobochronicles.com,satire,mixed
associatedmediacoverage.com,satire,mixed
awazetribune.com,satire,mixed
beehivebugle.com,satire,mixed
betootaadvocate.com,satire,mixed
bigamericannews.com,satire,mixed
borowitzreport.com,satire,mixed
bostontribune.com,satire,mixed
burrardstreetjournal.com,satire,mixed
callthecops.net,satire,mixed
celebtricity.com,satire,mixed
chaser.com.au,satire,mixed
christwire.org,satire,mixed
chronicle.su,satire,mixed
clickhole.com,satire,mixed
creambmp.com,satire,mixed
crystalair.com,satire,mixed
dailycurrant.com,satire,mixed
dailydiscord.com,satire,mixed
dailysnark.com,satire,mixed
dailysquib.co.uk,satire,mixed
dandygoat.com,satire,mixed
der-postillon.com,satire,mixed
derfmagazine.com,satire,mixed
disclose.tv,satire,mixed
diversitychronicle.wordpress.com,satire,mixed
duffleblog.com,satire,mixed
duhprogressive.com,satire,mixed
elkoshary.com,satire,mixed
elmundotoday.com,satire,mixed
empiresports.co,satire,mixed
empiresports.co,satire,mixed
fmobserver.com,satire,mixed
fognews.ru,satire,mixed
freepatriot.org,satire,mixed
freewoodpost.com,satire,mixed
fridaymash.com,satire,mixed
glossynews.com,satire,mixed
gomerblog.com,satire,mixed
holyobserver.com,satire,mixed
humortimes.com,satire,mixed
huzlers.com,satire,mixed
ironictimes.com,satire,mixed
islamicanews.com,satire,mixed
johnnyrobish.com,satire,mixed
landoverbaptist.org,satire,mixed
liberalbias.com,satire,mixed
liberaldarkness.com,satire,mixed
lushforlife.com,satire,mixed
nahadaily.com,satire,mixed
nationalreport.net,satire,mixed
ncscooper.com,satire,mixed
newsbiscuit.com,satire,mixed
newsbreakers.org,satire,mixed
newsmutiny.com,satire,mixed
newsthump.com,satire,mixed
newstoad.net,satire,mixed
newyorker.com/humor,satire,mixed
objectiveministries.org,satire,mixed
patriotnewsdaily.com,satire,mixed
politicops.com,satire,mixed
politicot.com,satire,mixed
reductress.com,satire,mixed
religionlo.com,satire,mixed
rockcitytimes.com,satire,mixed
satiratribune.com,satire,mixed
satirewire.com,satire,mixed
scrappleface.com,satire,mixed
sensationalisttimes.com,satire,mixed
speld.nl,satire,mixed
sportspickle.com,satire,mixed
stneotscitizen.com,satire,mixed
stuppid.com,satire,mixed
surrealscoop.com,satire,mixed
thebeaverton.com,satire,mixed
thedailymash.co.uk,satire,mixed
thedailywtf.com,satire,mixed
thehardtimes.net,satire,mixed
theineptowl.com,satire,mixed
thelastlineofdefense.org,satire,mixed
themadisonmisnomer.com,satire,mixed
themideastbeast.com,satire,mixed
thenewsnerd.com,satire,mixed
theonion.com,satire,mixed
thepoke.co.uk,satire,mixed
therightists.com,satire,mixed
theseattletribune.com,satire,mixed
theshovel.com.au,satire,mixed
theskunk.org,satire,mixed
thespoof.com,satire,mixed
thestatelyharold.com,satire,mixed
thetimesoftheworld.com,satire,mixed
theunrealtimes.com,satire,mixed
theuspatriot.com,satire,mixed
thevalleyreport.com,satire,mixed
topekasnews.com,satire,mixed
unconfirmedsources.com,satire,mixed
us.blastingnews.com,satire,mixed
waterfordwhispersnews.com,satire,mixed
williambanzai7.blogspot.com,satire,mixed
winkprogress.com,satire,mixed
witscience.org,satire,mixed
wonkie.com,satire,mixed
worldnewsdailyreport.com,satire,mixed
wundergroundmusic.com,satire,mixed
rt.com,state,mixed
aanirfan.blogspot.co.uk,unreliable,unreliable
acting-man.com,unreliable,unreliable
ahtribune.com,unreliable,unreliable
allnewspipeline.com,unreliable,unreliable
anonews.co,unreliable,unreliable
anonhq.com,unreliable,unreliable
anonnews.co,unreliable,unreliable
asia-pacificresearch.com,unreliable,unreliable
automaticearth.com,unreliable,unreliable
awm.com,unreliable,unreliable
blackagendareport.com,unreliable,unreliable
boilingfrogspost.com,unreliable,unreliable
breakpoint.org,unreliable,unreliable
bvanews.com,unreliable,unreliable
cnnnext.com,unreliable,unreliable
cnsnews.com,unreliable,unreliable
coasttocoastam.com,unreliable,unreliable
conservativeoutfitters.com,unreliable,unreliable
davejanda.com,unreliable,unreliable
dcleaks.com,unreliable,unreliable
financialsurvivalnetwork.com,unreliable,unreliable
guccifer2.wordpress.com,unreliable,unreliable
ifyouonlynews.com,unreliable,unreliable
jewsnews.co.il,unreliable,unreliable
libertynews.com,unreliable,unreliable
mad-yet.blogspot.com,unreliable,unreliable
madpatriots.com,unreliable,unreliable
madworldnews.com,unreliable,unreliable
madworldnews.com,unreliable,unreliable
morningledger.com,unreliable,unreliable
morningnewsusa.com,unreliable,unreliable
nevo.news,unreliable,unreliable
newcenturytimes.com,unreliable,unreliable
newsmax.com,unreliable,unreliable
northcrane.com,unreliable,unreliable
nutritionalanarchy.com,unreliable,unreliable
politicalears.com,unreliable,unreliable
politicsintheusa.com,unreliable,unreliable
powerpoliticians.com,unreliable,unreliable
shareblue.com,unreliable,unreliable
sovereignman.com,unreliable,unreliable
theantimedia.org,unreliable,unreliable
theduran.com,unreliable,unreliable
thefreethoughtproject.com,unreliable,unreliable
thegoldandoilguy.com/articles,unreliable,unreliable
theinformedamerican.net,unreliable,unreliable
thelibertymill.com,unreliable,unreliable
usdefensewatch.com,unreliable,unreliable
usviewer.com,unreliable,unreliable
veteransnewsnow.com,unreliable,unreliable
wallstreetonparade.com,unreliable,unreliable
weaselzippers.us,unreliable,unreliable
whowhatwhy.com,unreliable,unreliable
