topic,query_type,query,page,position,url,domain,title,timestamp,reason
plastic,slanted,plastic recycling scam,1,1,https://www.theguardian.com/us-news/2024/feb/15/recycling-plastics-producers-report,theguardian.com,'They lied': plastics producers deceived public about ...,2026-05-09 17:32:33,domain theguardian.com has conflicting statuses in Wikipedia
plastic,neutral,microplastics health research,2,4,https://www.theguardian.com/environment/2026/jan/13/microplastics-human-body-doubt,theguardian.com,'A bombshell': doubt cast on discovery of microplastics ...,2026-05-09 17:38:37,domain theguardian.com has conflicting statuses in Wikipedia
wind_energy,slanted,wind turbine syndrome,3,1,https://www.theguardian.com/world/2021/nov/08/french-couple-wins-legal-fight-wind-turbine-syndrome-windfarm-health,theguardian.com,French couple who said windfarm affected health win legal ...,2026-05-09 17:42:03,domain theguardian.com has conflicting statuses in Wikipedia
wind_energy,slanted,wind energy bird deaths,3,9,https://www.foxnews.com/politics/regulators-allow-obama-era-solar-plant-kill-thousands-birds-annually-fines-enforcement-investigation-finds,foxnews.com,Ivanpah solar plant kills thousands of birds with no fines ...,2026-05-09 17:44:25,domain foxnews.com has conflicting statuses in Wikipedia
artificial_intelligence,slanted,ai existential risk,3,10,https://www.forbes.com/sites/pialauritzen/2025/06/22/the-biggest-existential-threat-calls-for-philosophers-not-ai-experts/,forbes.com,"This Existential Threat Calls For Philosophers, Not AI Experts",2026-05-09 17:52:09,domain forbes.com has conflicting statuses in Wikipedia
gene_drives,neutral,gene drive malaria control,2,10,https://www.theguardian.com/global-development/2024/dec/11/what-is-gene-drive-and-how-could-it-help-in-the-fight-against-malaria,theguardian.com,What is gene drive and how could it help in the fight ...,2026-05-09 17:56:57,domain theguardian.com has conflicting statuses in Wikipedia
gene_drives,neutral,gene drive malaria control,3,1,https://www.theguardian.com/global-development/2024/dec/11/what-is-gene-drive-and-how-could-it-help-in-the-fight-against-malaria,theguardian.com,What is gene drive and how could it help in the fight ...,2026-05-09 17:57:09,domain theguardian.com has conflicting statuses in Wikipedia
synthetic_biology,slanted,synthetic biology bioweapons,3,4,https://www.theguardian.com/science/2018/jun/19/urgent-need-to-prepare-for-manmade-virus-attacks-says-us-government-report,theguardian.com,"Synthetic biology raises risk of new bioweapons, US report ...",2026-05-09 18:03:49,domain theguardian.com has conflicting statuses in Wikipedia
synthetic_biology,slanted,designer babies ethics,3,9,https://www.theguardian.com/science/2018/jul/17/genetically-modified-babies-given-go-ahead-by-uk-ethics-body,theguardian.com,Genetically modified babies given go ahead by UK ethics ...,2026-05-09 18:05:53,domain theguardian.com has conflicting statuses in Wikipedia
synthetic_biology,slanted,garage biology risks,1,6,https://www.theguardian.com/science/2016/sep/30/experts-warn-home-gene-editing-kits-pose-risk-to-society,theguardian.com,Experts warn home 'gene editing' kits pose risk to society,2026-05-09 18:07:20,domain theguardian.com has conflicting statuses in Wikipedia
synthetic_biology,slanted,garage biology risks,2,8,https://www.forbes.com/sites/fernandezelizabeth/2019/09/19/yes-people-can-edit-the-genome-in-their-garage-can-they-be-regulated/,forbes.com,"Yes, People Can Edit The Genome In Their Garage. ...",2026-05-09 18:07:42,domain forbes.com has conflicting statuses in Wikipedia
quantum_computing,slanted,quantum decryption threats,1,3,https://www.theguardian.com/technology/2026/mar/26/google-quantum-computers-crack-encryption-2029,theguardian.com,Google warns quantum computers could hack encrypted ...,2026-05-09 18:17:26,domain theguardian.com has conflicting statuses in Wikipedia
quantum_computing,slanted,quantum computing dangers,1,6,https://www.forbes.com/councils/forbestechcouncil/2022/11/08/13-risks-that-come-with-the-growing-power-of-quantum-computing/,forbes.com,13 Risks That Come With The Growing Power Of Quantum ...,2026-05-09 18:19:37,domain forbes.com has conflicting statuses in Wikipedia
lab_grown_meat,slanted,lab meat health risks,1,10,https://www.telegraph.co.uk/health-fitness/diet/nutrition/pros-and-cons-of-lab-grown-meat/,telegraph.co.uk,The pros and cons of lab-grown meat,2026-05-09 18:21:56,domain telegraph.co.uk has conflicting statuses in Wikipedia
lab_grown_meat,slanted,test tube meat dangers,1,7,https://www.telegraph.co.uk/health-fitness/diet/nutrition/pros-and-cons-of-lab-grown-meat/,telegraph.co.uk,The pros and cons of lab-grown meat,2026-05-09 18:23:45,domain telegraph.co.uk has conflicting statuses in Wikipedia
lab_grown_meat,slanted,fake meat processing risks,3,4,https://www.forbes.com/sites/jennysplitter/2020/02/20/no-fake-meat-doesnt-need-a-cancer-warning/,forbes.com,"No, 'Fake Meat' Doesn't Need A Cancer Warning",2026-05-09 18:26:04,domain forbes.com has conflicting statuses in Wikipedia
3d_printing,slanted,3d printed gun dangers,2,8,https://www.theguardian.com/australia-news/2025/sep/01/australia-gun-control-laws-3d-printed-firearms-ntwnfb,theguardian.com,Illicit and 3D-printed firearms are a growing problem. ...,2026-05-09 18:30:40,domain theguardian.com has conflicting statuses in Wikipedia
autonomous_vehicles,neutral,self driving car safety,3,2,https://www.bloomberg.com/news/features/2026-01-06/are-autonomous-vehicles-safer-than-human-drivers-we-don-t-know-yet,bloomberg.com,We Still Don't Know if Robotaxis Are Safer Than Human ...,2026-05-09 18:34:13,domain bloomberg.com has conflicting statuses in Wikipedia
autonomous_vehicles,slanted,self driving truck dangers,3,8,https://www.foxnews.com/tech/can-autonomous-trucks-really-make-highways-safer,foxnews.com,Can autonomous trucks really make highways safer?,2026-05-09 18:37:00,domain foxnews.com has conflicting statuses in Wikipedia
social_media,neutral,instagram mental health research,1,1,https://www.theguardian.com/media/2026/mar/19/instagram-worse-mental-health-whatsapp-global-study-finds,theguardian.com,"Instagram worse for mental health than WhatsApp, global ...",2026-05-09 18:50:30,domain theguardian.com has conflicting statuses in Wikipedia
social_media,slanted,social media depression link,1,3,https://www.theguardian.com/media/2026/mar/22/study-children-social-media-anxiety-depression,theguardian.com,Study links children's social media use with anxiety and ...,2026-05-09 18:51:12,domain theguardian.com has conflicting statuses in Wikipedia
social_media,neutral,tiktok algorithm study,1,1,https://www.theguardian.com/technology/2026/may/06/tiktok-pro-republican-algorithm-2024-election,theguardian.com,TikTok's algorithm favored Republican content in 2024 US ...,2026-05-09 18:51:53,domain theguardian.com has conflicting statuses in Wikipedia
social_media,neutral,facebook misinformation research,1,8,https://www.theguardian.com/world/ng-interactive/2025/sep/28/inside-the-everyday-facebook-networks-where-far-right-ideas-grow,theguardian.com,Inside the everyday Facebook networks where far-right ...,2026-05-09 18:53:14,domain theguardian.com has conflicting statuses in Wikipedia
social_media,slanted,facebook polarizing effects,3,7,https://www.theguardian.com/technology/2023/jul/27/meta-facebook-algorithm-2020-election,theguardian.com,Changing Meta's algorithms did not help US political ...,2026-05-09 18:54:17,domain theguardian.com has conflicting statuses in Wikipedia
social_media,neutral,twitter echo chamber,1,5,https://www.theguardian.com/politics/2017/feb/04/twitter-accounts-really-are-echo-chambers-study-finds,theguardian.com,"Twitter accounts really are echo chambers, study finds",2026-05-09 18:54:40,domain theguardian.com has conflicting statuses in Wikipedia
online_privacy,slanted,facial recognition surveillance,1,2,https://www.theguardian.com/technology/ng-interactive/2026/may/03/ai-facial-recognition-oversight-lagging-far-behind-technology-watchdogs-warn,theguardian.com,AI facial recognition oversight lagging far behind ...,2026-05-09 19:00:58,domain theguardian.com has conflicting statuses in Wikipedia
electronic_cigarettes,slanted,teen vaping epidemic,1,5,https://www.theguardian.com/society/2023/mar/18/uk-health-expert-raises-alarm-at-epidemic-of-vaping-among-teenagers,theguardian.com,UK health expert raises alarm at vaping 'epidemic' among ...,2026-05-09 19:06:21,domain theguardian.com has conflicting statuses in Wikipedia
electronic_cigarettes,slanted,teen vaping epidemic,3,1,https://www.forbes.com/sites/jessepines/2026/04/06/16-million-teens-are-vaping-health-risks-are-worse-than-you-think/,forbes.com,1.6 Million Teens Are Vaping. Health Risks Are Worse ...,2026-05-09 19:06:50,domain forbes.com has conflicting statuses in Wikipedia
obesity,neutral,healthy diet research,2,3,https://www.theguardian.com/commentisfree/2026/may/05/game-changer-good-health-scientists-we-are-when-we-eat,theguardian.com,A game-changer for good health? Scientists believe 'we ...,2026-05-09 19:10:24,domain theguardian.com has conflicting statuses in Wikipedia
obesity,slanted,processed food dangers,1,7,https://www.theguardian.com/society/2024/feb/28/ultra-processed-food-32-harmful-effects-health-review,theguardian.com,Ultra-processed food linked to 32 harmful effects to health ...,2026-05-09 19:10:55,domain theguardian.com has conflicting statuses in Wikipedia
plant_based_diet,neutral,vegan health impact,3,8,https://www.theguardian.com/environment/2023/jul/20/vegan-diet-cuts-environmental-damage-climate-heating-emissions-study,theguardian.com,"Vegan diet massively cuts environmental damage, study ...",2026-05-09 19:13:54,domain theguardian.com has conflicting statuses in Wikipedia
plant_based_diet,neutral,meat substitutes safety,3,8,https://www.theguardian.com/business/article/2024/aug/28/plant-based-meat-alternatives-environment-nutrition,theguardian.com,Plant-based meat alternatives are eco-friendlier and mostly ...,2026-05-09 19:17:24,domain theguardian.com has conflicting statuses in Wikipedia
raw_milk,neutral,raw milk impact,3,10,https://www.theguardian.com/wellness/2024/nov/26/what-is-unpasteurized-raw-milk,theguardian.com,The truth about raw milk and why experts are 'absolutely ...,2026-05-09 19:19:02,domain theguardian.com has conflicting statuses in Wikipedia
raw_milk,slanted,raw milk bacteria dangers,3,8,https://www.theguardian.com/wellness/2024/nov/26/what-is-unpasteurized-raw-milk,theguardian.com,The truth about raw milk and why experts are 'absolutely ...,2026-05-09 19:19:50,domain theguardian.com has conflicting statuses in Wikipedia
raw_milk,neutral,unpasteurized milk research,3,1,https://www.theguardian.com/wellness/2024/nov/26/what-is-unpasteurized-raw-milk,theguardian.com,The truth about raw milk and why experts are 'absolutely ...,2026-05-09 19:20:27,domain theguardian.com has conflicting statuses in Wikipedia
dairy,slanted,raw dairy risks,3,6,https://www.theguardian.com/wellness/2024/nov/26/what-is-unpasteurized-raw-milk,theguardian.com,The truth about raw milk and why experts are 'absolutely ...,2026-05-09 19:32:34,domain theguardian.com has conflicting statuses in Wikipedia
sugar,slanted,high fructose corn syrup dangers,3,7,https://www.foxnews.com/health/not-so-sweet-the-hidden-danger-in-high-fructose-corn-syrup,foxnews.com,Not So Sweet: The Hidden Danger in High-Fructose Corn ...,2026-05-09 19:40:22,domain foxnews.com has conflicting statuses in Wikipedia
caffeine,slanted,energy drink dangers,2,4,https://www.theguardian.com/society/2025/dec/09/energy-drinks-heart-disease-stroke-risk-doctors,theguardian.com,Consuming lots of energy drinks may raise heart disease ...,2026-05-09 19:52:46,domain theguardian.com has conflicting statuses in Wikipedia
caffeine,slanted,caffeine addiction,2,8,https://www.theguardian.com/food/2021/jul/06/caffeine-coffee-tea-invisible-addiction-is-it-time-to-give-up,theguardian.com,The invisible addiction: is it time to give up caffeine? | Coffee,2026-05-09 19:54:22,domain theguardian.com has conflicting statuses in Wikipedia
alcohol,neutral,moderate alcohol consumption health impact,3,6,https://www.theguardian.com/commentisfree/2019/may/06/heres-why-moderate-drinking-is-probably-not-good-for-you,theguardian.com,Here's why moderate drinking is probably not good for you,2026-05-09 19:55:15,domain theguardian.com has conflicting statuses in Wikipedia
alcohol,neutral,wine heart health,1,5,https://www.theguardian.com/lifeandstyle/2025/dec/01/is-it-true-that-a-glass-of-wine-a-day-is-good-for-your-heart,theguardian.com,Is it true that … a glass of wine a day is good for your heart?,2026-05-09 19:56:36,domain theguardian.com has conflicting statuses in Wikipedia
fast_food,slanted,fast food antibiotic meat,1,10,https://nypost.com/2024/03/27/lifestyle/fast-food-chains-still-serve-meats-containing-antibiotics-here-are-the-ones-to-watch-out-for/,nypost.com,Fast-food chains still serve meats containing antibiotics,2026-05-09 20:04:49,domain nypost.com has conflicting statuses in Wikipedia
fast_food,slanted,fast food antibiotic meat,3,3,https://www.theguardian.com/sustainable-business/2016/sep/20/burger-king-kfc-mcdonalds-antibiotic-free-meat,theguardian.com,Burger King and KFC called out for lagging behind on ...,2026-05-09 20:05:07,domain theguardian.com has conflicting statuses in Wikipedia
organic_food,slanted,organic food scam,2,2,https://www.theguardian.com/uk/2005/aug/21/foodanddrink.organics1,theguardian.com,Britain's organic food scam exposed | UK news,2026-05-09 20:06:44,domain theguardian.com has conflicting statuses in Wikipedia
tap_water,neutral,tap water safety,3,8,https://www.theguardian.com/lifeandstyle/2023/sep/17/should-i-worry-about-drinking-tap-water,theguardian.com,Should I worry about drinking tap water?,2026-05-09 20:09:33,domain theguardian.com has conflicting statuses in Wikipedia
tap_water,slanted,chlorine water dangers,2,3,https://www.theguardian.com/us-news/2025/feb/17/water-chlorination-cancer-risk-us-eu,theguardian.com,Water chlorination levels in US and EU likely increase ...,2026-05-09 20:16:06,domain theguardian.com has conflicting statuses in Wikipedia
overfishing,slanted,fish farm pollution,1,1,https://www.theguardian.com/world/2026/may/04/norwegian-fish-farms-polluting-fjords-with-waste-likened-to-raw-sewage-of-millions-of-people,theguardian.com,Norwegian fish farms polluting fjords with waste likened to ' ...,2026-05-09 20:47:07,domain theguardian.com has conflicting statuses in Wikipedia
education,neutral,public school data,3,6,https://www.foxnews.com/us/number-k-12-public-school-students-declined-half-states-report-indicates,foxnews.com,K-12 public school enrollment has dropped in 30 states ...,2026-05-09 20:58:05,domain foxnews.com has conflicting statuses in Wikipedia
education,slanted,common core failures,1,2,https://www.forbes.com/sites/nataliewexler/2021/04/22/the-little-known-flaw-behind-the-failure-of-the-common-core/,forbes.com,The Little-Known Flaw Behind The 'Failure' Of The ...,2026-05-09 20:59:19,domain forbes.com has conflicting statuses in Wikipedia
healthcare,slanted,obamacare failures,3,9,https://www.forbes.com/sites/theapothecary/2020/09/23/the-disappointing-affordable-care-act/,forbes.com,The Disappointing Affordable Care Act,2026-05-09 21:09:44,domain forbes.com has conflicting statuses in Wikipedia
gene_editing,neutral,gene drive technology,3,7,https://www.theguardian.com/global-development/2024/dec/11/what-is-gene-drive-and-how-could-it-help-in-the-fight-against-malaria,theguardian.com,What is gene drive and how could it help in the fight ...,2026-05-09 21:26:00,domain theguardian.com has conflicting statuses in Wikipedia
gene_editing,slanted,designer babies,3,3,https://www.theguardian.com/science/2017/jan/08/designer-babies-ethical-horror-waiting-to-happen,theguardian.com,Designer babies: an ethical horror waiting to happen?,2026-05-09 21:27:22,domain theguardian.com has conflicting statuses in Wikipedia
cybersecurity,neutral,encryption security,2,8,https://www.forbes.com/councils/forbestechcouncil/2024/11/22/understanding-data-encryption-types-algorithms-and-security/,forbes.com,"Understanding Data Encryption: Types, Algorithms And ...",2026-05-09 21:28:27,domain forbes.com has conflicting statuses in Wikipedia
social_credit,slanted,government surveillance,2,5,https://www.theguardian.com/technology/2026/mar/21/fbi-mass-surveillance-data-artificial-intelligence,theguardian.com,How the FBI can conduct mass surveillance – even without AI,2026-05-09 21:37:32,domain theguardian.com has conflicting statuses in Wikipedia
quantum_computing,slanted,quantum decryption threat,1,2,https://www.theguardian.com/technology/2026/mar/26/google-quantum-computers-crack-encryption-2029,theguardian.com,Google warns quantum computers could hack encrypted ...,2026-05-09 21:42:52,domain theguardian.com has conflicting statuses in Wikipedia
quantum_computing,slanted,quantum computer hacking,1,2,https://www.theguardian.com/technology/2026/mar/26/google-quantum-computers-crack-encryption-2029,theguardian.com,Google warns quantum computers could hack encrypted ...,2026-05-09 21:46:03,domain theguardian.com has conflicting statuses in Wikipedia
space_exploration,neutral,mars colonization,3,10,https://www.forbes.com/sites/kevinholdenplatt/2026/04/28/elon-musks-jilting-mars-to-build-moon-city-could-spark-his-downfall/,forbes.com,Elon Musk's Jilting Mars To Build Moon City Could Spark ...,2026-05-09 21:52:26,domain forbes.com has conflicting statuses in Wikipedia
immigration,slanted,immigration threath,3,6,https://www.theguardian.com/australia-news/2026/may/07/morning-mail-thursday-ntwnfb,theguardian.com,Morning Mail: Coalition's 'roadmap' to slash immigration ...,2026-05-09 21:57:38,domain theguardian.com has conflicting statuses in Wikipedia
Job_security,slanted,unemployment rise,2,8,https://www.theguardian.com/society/2026/mar/03/obr-raises-uk-unemployment-estimates-amid-worrying-increase-in-young-people-out-of-work,theguardian.com,Unemployment set to hit 5.3% this year amid 'worrying' rise ...,2026-05-09 22:01:03,domain theguardian.com has conflicting statuses in Wikipedia
Job_security,slanted,Ai taking over jobs,2,4,https://www.theguardian.com/technology/2026/feb/11/big-ai-job-swap-white-collar-workers-ditching-their-careers,theguardian.com,The big AI job swap: why white-collar workers are ditching ...,2026-05-09 22:02:32,domain theguardian.com has conflicting statuses in Wikipedia
Job_security,slanted,Ai taking over jobs,3,8,https://www.forbes.com/sites/jackkelly/2025/04/25/the-jobs-that-will-fall-first-as-ai-takes-over-the-workplace/,forbes.com,Jobs AI Will Replace First in the Workplace Shift,2026-05-09 22:02:42,domain forbes.com has conflicting statuses in Wikipedia
