domain,domain_count,urls
committees.parliament.uk,6,https://committees.parliament.uk/writtenevidence/77357/html/;https://committees.parliament.uk/writtenevidence/77357/html/;https://committees.parliament.uk/writtenevidence/77357/html/;https://committees.parliament.uk/writtenevidence/77357/html/;https://committees.parliament.uk/writtenevidence/77357/html/;https://committees.parliament.uk/writtenevidence/142676/pdf/
food-safety.com,6,https://www.food-safety.com/articles/10888-canada-proposes-foods-derived-from-cloned-cows-pigs-should-no-longer-be-regulated-as-novel;https://www.food-safety.com/articles/8660-from-lab-bench-to-consumer-the-regulatory-and-safety-challenges-of-cultivated-meat;https://www.food-safety.com/articles/7674-safety-and-nutritional-risks-associated-with-plant-based-meat-alternatives;https://www.food-safety.com/articles/7674-safety-and-nutritional-risks-associated-with-plant-based-meat-alternatives;https://www.food-safety.com/articles/11068-researchers-develop-guiding-principles-for-scientifically-rigorous-food-processing-classification;https://www.food-safety.com/articles/9932-policies-on-antibiotics-in-meat-many-top-restaurants-receive-failing-grades-only-one-gets-a
projects.research-and-innovation.ec.europa.eu,6,https://projects.research-and-innovation.ec.europa.eu/en/horizon-magazine/beyond-fear-eu-funded-scientists-test-health-impacts-5g;https://projects.research-and-innovation.ec.europa.eu/en/horizon-magazine/beyond-fear-eu-funded-scientists-test-health-impacts-5g;https://projects.research-and-innovation.ec.europa.eu/en/horizon-magazine/beyond-fear-eu-funded-scientists-test-health-impacts-5g;https://projects.research-and-innovation.ec.europa.eu/en/horizon-magazine/nanotech-no-cause-concern-so-far;https://projects.research-and-innovation.ec.europa.eu/en/horizon-magazine/codemakers-race-secure-internet-quantum-threat-looms;https://projects.research-and-innovation.ec.europa.eu/en/horizon-magazine/3d-printed-living-cells-pave-way-tomorrows-medicine-and-cruelty-free-animal-products
escardio.org,6,https://www.escardio.org/news/press/press-releases/limit-ultra-processed-foods-to-lower-risk-of-heart-disease-say-experts/;https://www.escardio.org/communities/councils/cardiology-practice/scientific-documents-and-publications/ejournal/volume-22/salt-and-hypertension-current-views/;https://www.escardio.org/communities/councils/cardiology-practice/scientific-documents-and-publications/ejournal/volume-22/salt-and-hypertension-current-views/;https://www.escardio.org/communities/councils/cardiology-practice/scientific-documents-and-publications/ejournal/volume-22/salt-and-hypertension-current-views/;https://www.escardio.org/communities/councils/cardiology-practice/scientific-documents-and-publications/ejournal/volume-22/salt-and-hypertension-current-views/;https://www.escardio.org/news/press/press-releases/study-using-more-reliable-measure-of-wine-consumption-finds-protective-effect-fo/
nagra.ch,6,https://nagra.ch/en/knowledge-centre/toxicity-of-radioactive-waste/;https://nagra.ch/en/knowledge-centre/radioactive-waste-disposal-but-how/;https://nagra.ch/en/knowledge-centre/deep-geological-repository-safe-underground-disposal-of-radioactive-waste/;https://nagra.ch/wp-content/uploads/2022/09/The-site-for-the-deep-geological-repository-Nagras-proposal.pdf;https://nagra.ch/en/knowledge-centre/have-deep-geological-repositories-already-been-constructed-anywhere-else/;https://nagra.ch/en/knowledge-centre/safely-transporting-radioactive-waste/
undp.org,6,https://www.undp.org/sites/g/files/zskgke326/files/2025-10/07_facts_renewable_webfinal.pdf;https://www.undp.org/kosovo/blog/microplastics-human-health-how-much-do-they-harm-us;https://www.undp.org/policy-centre/singapore/blog/achieving-financial-inclusion-through-digital-currencies;https://www.undp.org/policy-centre/singapore/blog/achieving-financial-inclusion-through-digital-currencies;https://www.undp.org/popping-the-bottle;https://www.undp.org/blog/why-legal-identity-crucial-tackling-climate-crisis
esa.int,6,https://www.esa.int/Space_Safety/Space_Debris/About_space_debris;https://www.esa.int/Space_Safety/Space_Debris;https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Exploration/Why_go_to_Mars;https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/International_Space_Station/Where_is_the_International_Space_Station;https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/International_Space_Station/Building_the_International_Space_Station3;https://www.esa.int/Space_Safety/Space_Debris/Mitigating_space_debris_generation
wcrf.org,6,https://www.wcrf.org/preventing-cancer/topics/aspartame-and-cancer/;https://www.wcrf.org/preventing-cancer/topics/aspartame-and-cancer/;https://www.wcrf.org/preventing-cancer/topics/aspartame-and-cancer/;https://www.wcrf.org/preventing-cancer/topics/upfs-and-cancer/;https://www.wcrf.org/preventing-cancer/topics/aspartame-and-cancer/;https://www.wcrf.org/preventing-cancer/topics/alcohol-and-cancer/
unesco.org,6,https://www.unesco.org/en/articles/sea-level-rising-due-global-warming-its-fact;https://www.unesco.org/en/artificial-intelligence/recommendation-ethics;https://www.unesco.org/en/artificial-intelligence/recommendation-ethics/cases;https://www.unesco.org/en/articles/we-can-only-break-poverty-cycle-through-education-0;https://www.unesco.org/en/articles/we-can-only-break-poverty-cycle-through-education-0;https://www.unesco.org/en/articles/roundtable-genome-editing-why-ethics-matter-0
bcg.com,6,https://www.bcg.com/publications/2025/how-quantum-computing-will-upend-cybersecurity;https://www.bcg.com/publications/2025/the-growing-protection-gap-in-european-insurance;https://www.bcg.com/publications/2025/how-quantum-computing-will-upend-cybersecurity;https://www.bcg.com/publications/2025/how-quantum-computing-will-upend-cybersecurity;https://www.bcg.com/publications/2026/ai-will-reshape-more-jobs-than-it-replaces;https://www.bcg.com/publications/2026/ai-will-reshape-more-jobs-than-it-replaces
pan-uk.org,6,https://www.pan-uk.org/citizens-for-science-in-pesticide-regulation/;https://www.pan-uk.org/health-effects-of-pesticides/;https://www.pan-uk.org/organic/;https://www.pan-uk.org/faq-items/what-are-the-pesticide-related-health-risks-in-conventional-farming/;https://www.pan-uk.org/organic/;https://www.pan-uk.org/organic/
csiro.au,6,https://www.csiro.au/en/research/environmental-impacts/climate-change/Climate-change-QA/Science;https://www.csiro.au/en/research/environmental-impacts/climate-change/Climate-change-QA/Sources-of-CO2;https://www.csiro.au/en/work-with-us/industries/mining-resources/Mining/MIne-safety-and-health;https://www.csiro.au/en/research/health-medical/nutrition/egg-quality;https://www.csiro.au/en/research/natural-environment/Critical-minerals/Sustainable-mining-technology;https://www.csiro.au/en/news/all/articles/2026/may/how-quantum-can-make-ai-safer
healthnz.govt.nz,6,https://www.healthnz.govt.nz/health-topics/immunisations/vaccine-side-effects-reactions-and-safety;https://www.healthnz.govt.nz/health-topics/immunisations/benefits-immunisation;https://www.healthnz.govt.nz/health-topics/immunisations/vaccines-aotearoa/covid-19-vaccines/covid-19-vaccine-side-effects-and-reactions;https://www.healthnz.govt.nz/health-topics/keeping-healthy/healthy-homes-environments/non-ionising-fields/cellsites-5g;https://www.healthnz.govt.nz/health-topics/keeping-healthy/healthy-homes-environments/non-ionising-fields/power-lines;https://www.healthnz.govt.nz/health-topics/keeping-healthy/healthy-homes-environments/non-ionising-fields/power-lines
iopscience.iop.org,6,https://iopscience.iop.org/book/mono/978-0-7503-6069-2/chapter/bk978-0-7503-6069-2ch6;https://iopscience.iop.org/journal/0029-5515;https://iopscience.iop.org/article/10.1088/1755-1315/272/3/032078/pdf;https://iopscience.iop.org/article/10.1088/1742-6596/1804/1/012001/pdf;https://iopscience.iop.org/article/10.1088/2515-7620/ae4a00;https://iopscience.iop.org/article/10.1088/1755-1315/1018/1/012021
heartfoundation.org.nz,6,https://www.heartfoundation.org.nz/wellbeing/healthy-eating/nutrition-facts/eggs-and-cholesterol;https://www.heartfoundation.org.nz/wellbeing/healthy-eating/nutrition-facts/eggs-and-cholesterol;https://www.heartfoundation.org.nz/wellbeing/healthy-eating/nutrition-facts/salt-and-your-heart;https://www.heartfoundation.org.nz/wellbeing/healthy-eating/nutrition-facts/salt-and-your-heart;https://www.heartfoundation.org.nz/wellbeing/healthy-eating/nutrition-facts/salt-and-your-heart;https://www.heartfoundation.org.nz/wellbeing/healthy-eating/nutrition-facts/salt-and-your-heart
yalemedicine.org,6,https://www.yalemedicine.org/news/covid-19-vaccine-comparison;https://www.yalemedicine.org/conditions/covid-19;https://www.yalemedicine.org/conditions/evali;https://www.yalemedicine.org/conditions/bariatric-surgery-for-weight-loss;https://www.yalemedicine.org/news/ultraprocessed-foods-bad-for-you;https://www.yalemedicine.org/conditions/alcohol-related-liver-disease
helpguide.org,6,https://www.helpguide.org/mental-health/wellbeing/social-media-and-mental-health;https://www.helpguide.org/mental-health/wellbeing/social-media-and-mental-health;https://www.helpguide.org/mental-health/wellbeing/social-media-and-mental-health;https://www.helpguide.org/mental-health/wellbeing/social-media-and-mental-health;https://www.helpguide.org/wellness/fitness/the-mental-health-benefits-of-exercise;https://www.helpguide.org/mental-health/wellbeing/how-much-caffeine
aph.gov.au,6,https://www.aph.gov.au/DocumentStore.ashx?id=d038a736-ceb1-4287-b6bb-d13dcadc1fb4&subId=672825;https://www.aph.gov.au/parliamentary_business/committees/house_of_representatives_committees?url=isr/uranium/report/chapter4.pdf;https://www.aph.gov.au/Parliamentary_Business/Committees/Senate/Significant_Reports/radioactivewastectte/report/~/media/wopapub/senate/committee/history/radioactive_waste_ctte/report/05ch5.ashx;https://www.aph.gov.au/Parliamentary_Business/Committees/Senate/Significant_Reports/radioactivewastectte/report/~/media/wopapub/senate/committee/history/radioactive_waste_ctte/report/05ch5.ashx;https://www.aph.gov.au/DocumentStore.ashx?id=d01723bd-1c38-4c9c-a5f8-e3b7ac02bdd2&subId=351098;https://www.aph.gov.au/About_Parliament/Parliamentary_departments/Parliamentary_Library/Research/Research_Papers/2021-22/WelfareDependency
ada.org,6,https://www.ada.org/resources/community-initiatives/fluoride-in-water;https://www.ada.org/resources/ada-library/oral-health-topics/fluoride-topical-and-systemic-supplements;https://www.ada.org/resources/community-initiatives/fluoride-in-water/fluoridation-faqs;https://www.ada.org/about/press-releases/community-water-fluoridation-at-optimal-levels-is-safe-and-effective;https://www.ada.org/resources/ada-library/oral-health-topics/amalgam;https://www.ada.org/resources/community-initiatives/fluoride-in-water/fluoridation-faqs
github.com,6,https://github.com/digitalhealthpass/digitalhealthpass;https://github.com/slowmist/Cryptocurrency-Security-Audit-Guide/blob/main/Blockchain-Common-Vulnerability-List.md;https://github.com/faizack/Supply-Chain-Blockchain;https://github.com/Consensys/smart-contract-best-practices;https://github.com/slowmist/Cryptocurrency-Security-Audit-Guide/blob/main/Blockchain-Common-Vulnerability-List.md;https://github.com/hslatman/awesome-threat-intelligence
journals.lww.com,6,https://journals.lww.com/jphmp/fulltext/2023/07000/association_between_racial_segregation_and.20.aspx;https://journals.lww.com/joms/fulltext/2020/40030/ethical_issues_of_human_cloning.1.aspx;https://journals.lww.com/endi/fulltext/2021/06030/wind_turbines_and_adverse_health_effects__applying.1.aspx;https://journals.lww.com/jehp/fulltext/2025/02280/filtering_reality__navigating_instagram_s.84.aspx;https://journals.lww.com/nutritiontodayonline/fulltext/2015/07000/raw_milk_consumption__risks_and_benefits.10.aspx;https://journals.lww.com/joms/fulltext/2020/40030/Ethical_Issues_of_uman_Cloning.1.a
braintumourresearch.org,6,https://braintumourresearch.org/blogs/research-campaigning-news/5g-and-brain-tumours?srsltid=AfmBOoqWGjmPSZDFVSi5qV9fR3uqaoF8_1YGlh8zKoyqFhAxYZbw1sd1;https://braintumourresearch.org/blogs/research-campaigning-news/5g-and-brain-tumours?srsltid=AfmBOooWGESnm6A1E5LrPfg1ptmmJfSess1xv-VA4rREgbQJjzimRpOA;https://braintumourresearch.org/blogs/research-campaigning-news/5g-and-brain-tumours?srsltid=AfmBOor0BQkgAgUVt7liJk8qY5-HKXGaJBCQ33Js0p3e_DGC6H1_anG7;https://braintumourresearch.org/blogs/research-campaigning-news/5g-and-brain-tumours?srsltid=AfmBOooLcY2zLGKg_X85CCrRV1kNLG9iGLe5jxUUO7mON6RyEQPK9PaR;https://braintumourresearch.org/blogs/research-campaigning-news/5g-and-brain-tumours?srsltid=AfmBOorpmhG6ycMtc0kwSKK1cYWYSOEgrWbj7dzU-IfFSYX72Epw9MXn;https://braintumourresearch.org/blogs/research-campaigning-news/5g-and-brain-tumours?srsltid=AfmBOoqRDL7-ud0PMKmZprSbcjaqxeyI4I-jPWjQb4nzaehjct0ZMRgo
albertahealthservices.ca,6,https://www.albertahealthservices.ca/Blogs/BTH/Posting335.aspx;https://www.albertahealthservices.ca/Blogs/BTH/Posting335.aspx;https://www.albertahealthservices.ca/oh/Page5455.aspx;https://www.albertahealthservices.ca/news/Page16225.aspx;https://www.albertahealthservices.ca/assets/info/nutrition/if-nfs-an-introduction-to-bariatric-surgery.pdf;https://www.albertahealthservices.ca/assets/info/nutrition/if-nfs-sodium-and-your-diet.pdf
microsoft.com,6,https://www.microsoft.com/en-us/ai/responsible-ai;https://www.microsoft.com/en-us/garage/wall-of-fame/supply-chain-blockchain-initiative/;https://www.microsoft.com/de-de/security/business/security-101/what-is-cyber-threat-intelligence;https://www.microsoft.com/en-us/security/business/security-101/what-is-ransomware;https://www.microsoft.com/en-us/research/project/post-quantum-cryptography/;https://www.microsoft.com/en-us/research/project/post-quantum-cryptography/
mckinsey.com,6,https://www.mckinsey.com/industries/automotive-and-assembly/our-insights/will-autonomy-usher-in-the-future-of-truck-freight-transportation;https://www.mckinsey.com/industries/automotive-and-assembly/our-insights/will-autonomy-usher-in-the-future-of-truck-freight-transportation;https://www.mckinsey.com/~/media/McKinsey/Business%20Functions/McKinsey%20Digital/Our%20Insights/Digital%20identification%20A%20key%20to%20inclusive%20growth/MGI-Digital-identification-In-brief.pdf;https://www.mckinsey.com/capabilities/tech-and-ai/our-insights/when-and-how-to-prepare-for-post-quantum-cryptography;https://www.mckinsey.com/capabilities/tech-and-ai/our-insights/when-and-how-to-prepare-for-post-quantum-cryptography;https://www.mckinsey.com/featured-insights/mckinsey-explainers/what-is-space-junk
data.worldbank.org,5,https://data.worldbank.org/indicator/ER.FSH.AQUA.MT;https://data.worldbank.org/topic/4;https://data.worldbank.org/indicator/SM.POP.NETM?locations=CH;https://data.worldbank.org/indicator/SP.POP.GROW;https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS
cpl.thalesgroup.com,5,https://cpl.thalesgroup.com/encryption/post-quantum-crypto-agility;https://cpl.thalesgroup.com/encryption/blockchain;https://cpl.thalesgroup.com/encryption;https://cpl.thalesgroup.com/resources/encryption/post-quantum-cryptography-solutions-white-paper;https://cpl.thalesgroup.com/encryption/post-quantum-crypto-agility
nationalacademies.org,5,https://www.nationalacademies.org/projects/BRWM-U-01-06-A;https://www.nationalacademies.org/read/27397/chapter/3;https://www.nationalacademies.org/news/new-report-reviews-evidence-on-moderate-alcohol-consumption-and-health-impacts;https://www.nationalacademies.org/read/10285/chapter/8;https://www.nationalacademies.org/projects/IOM-HSP-15-10
knowledge4policy.ec.europa.eu,5,https://knowledge4policy.ec.europa.eu/health-promotion-knowledge-gateway/food-based-dietary-guidelines-europe-table-14_en;https://knowledge4policy.ec.europa.eu/health-promotion-knowledge-gateway/sugars-sweeteners-6_en;https://knowledge4policy.ec.europa.eu/health-promotion-knowledge-gateway/defining-dietary-salt-sodium-table-3a_en;https://knowledge4policy.ec.europa.eu/health-promotion-knowledge-gateway/dietary-salt/sodium_en;https://knowledge4policy.ec.europa.eu/publication/migrants-welfare-dependency-evidence-eu_en
center4research.org,5,https://www.center4research.org/risks-splenda-risky-use/;https://www.center4research.org/can-cell-phones-harm-health/;https://www.center4research.org/dental-amalgam-fillings-fda-warning-mercury-problems/;https://www.center4research.org/dental-amalgam-fillings-fda-warning-mercury-problems/;https://www.center4research.org/social-media-affects-mental-health/
healthlinkbc.ca,5,https://www.healthlinkbc.ca/health-library/immunizations/children/reasons-immunize-your-child;https://www.healthlinkbc.ca/healthlinkbc-files/water-fluoridation-facts;https://www.healthlinkbc.ca/healthwise/aromatherapy-essential-oils-therapy;https://www.healthlinkbc.ca/healthwise/tea-tree-oil-melaleuca-alternifolia;https://www.healthlinkbc.ca/healthlinkbc-files/lead-drinking-water
imf.org,5,https://www.imf.org/en/blogs/articles/2020/06/02/blog060220-how-the-great-lockdown-saved-lives;https://www.imf.org/en/blogs/articles/2024/08/15/carbon-emissions-from-ai-and-crypto-are-surging-and-tax-policy-can-help;https://www.imf.org/en/blogs/articles/2024/08/15/carbon-emissions-from-ai-and-crypto-are-surging-and-tax-policy-can-help;https://www.imf.org/en/topics/digital-payments-and-finance;https://www.imf.org/external/pubs/ft/fandd/basics/unemploy.htm
genedrivenetwork.org,5,https://genedrivenetwork.org/blog/predicting-the-potential-of-gene-drives-in-mosquitoes-to-control-malaria-in-west-africa-with-mathematical-models/;https://genedrivenetwork.org/blog/gene-drive-myth-busting-gene-drive-equals-crispr/;https://genedrivenetwork.org/blog/gene-drives-could-help-tackle-one-of-the-five-key-drivers-of-biodiversity-loss-invasive-alien-species/;https://genedrivenetwork.org/wp-content/uploads/2024/02/factsheet2_GeneDriveNetwork_July2018_SCREENPDF.pdf;https://genedrivenetwork.org/what-is-gene-drive/
cisco.com,5,https://www.cisco.com/site/us/en/learn/topics/security/what-is-encryption.html;https://www.cisco.com/site/us/en/learn/topics/security/what-is-encryption.html;https://www.cisco.com/site/us/en/learn/topics/security/what-is-cyber-threat-intelligence.html;https://www.cisco.com/site/us/en/learn/topics/networking/what-is-post-quantum-cryptography.html;https://www.cisco.com/site/us/en/learn/topics/networking/what-is-post-quantum-cryptography.html
rawmilkinstitute.org,5,https://www.rawmilkinstitute.org/about-raw-milk;https://www.rawmilkinstitute.org/updates/study-raw-milk-legalization-does-not-increased-illnesses;https://www.rawmilkinstitute.org/updates;https://www.rawmilkinstitute.org/updates/facts-left-out-of-raw-milk-discussions;https://www.rawmilkinstitute.org/updates/raw-milk-and-lactose-intolerance
journals.plos.org,5,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0338818;https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1009321;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0311443;https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003950;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0159668
zhaw.ch,5,https://www.zhaw.ch/en/engineering/institutes-centres/ipp/research-area-additive-manufacturing;https://www.zhaw.ch/en/engineering/research/platforms/additive-manufacturing;https://www.zhaw.ch/en/about-us/news/news-releases/news-detail?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=23142&cHash=8cbbe3cf0fac8b07c9a686dd0ec62e0b;https://www.zhaw.ch/en/lsfm/institutes-centres/ilgi/technology;https://www.zhaw.ch/en/lsfm/institutes-centres/ilgi/process-development
health.gov.au,5,https://www.health.gov.au/childhood-immunisation/your-questions-answered;https://www.health.gov.au/childhood-immunisation/your-questions-answered;https://www.health.gov.au/topics/immunisation/vaccines/influenza-flu-vaccine?language=en;https://www.health.gov.au/sites/default/files/documents/2021/07/covid-19-vaccination-fact-sheet-side-effects-of-covid-19-vaccines-aboriginal-and-torres-strait-islander-peoples.pdf;https://www.health.gov.au/topics/overweight-and-obesity/about
verywellmind.com,5,https://www.verywellmind.com/lavender-for-less-anxiety-3571767;https://www.verywellmind.com/social-media-and-depression-5085354;https://www.verywellmind.com/nicotine-addiction-101-2825018;https://www.verywellmind.com/how-does-caffeine-affect-anxiety-6748834;https://www.verywellmind.com/caffeine-addiction-4157287
dwi.gov.uk,5,https://www.dwi.gov.uk/consumers/learn-more-about-your-water/fluoridation-of-drinking-water/;https://www.dwi.gov.uk/lead-in-drinking-water/;https://www.dwi.gov.uk/drinking-water-standards-and-regulations/;https://www.dwi.gov.uk/consumers/learn-more-about-your-water/chlorine/;https://www.dwi.gov.uk/consumers/learn-more-about-your-water/fluoridation-of-drinking-water/
5gamericas.org,5,https://www.5gamericas.org/5g-and-health/;https://www.5gamericas.org/5g-and-health/;https://www.5gamericas.org/5g-and-health/;https://www.5gamericas.org/5g-and-health/;https://www.5gamericas.org/5g-and-health/
ncsc.gov.uk,5,https://www.ncsc.gov.uk/paper/preparing-for-quantum-safe-cryptography;https://www.ncsc.gov.uk/collection/vulnerability-management/understanding-vulnerabilities;https://www.ncsc.gov.uk/ransomware/home;https://www.ncsc.gov.uk/paper/next-steps-in-preparing-for-post-quantum-cryptography;https://www.ncsc.gov.uk/paper/next-steps-in-preparing-for-post-quantum-cryptography
eea.europa.eu,5,https://www.eea.europa.eu/en/topics/in-depth/renewable-energy;https://www.eea.europa.eu/en/analysis/publications/how-pesticides-impact-human-health;https://www.eea.europa.eu/en/analysis/publications/how-pesticides-impact-human-health;https://www.eea.europa.eu/en/european-zero-pollution-dashboards/indicators/impacts-of-microplastics-on-health-signal;https://www.eea.europa.eu/en/analysis/publications/healthy-seas-thriving-fisheries
myhealth.alberta.ca,5,https://myhealth.alberta.ca/Topic/Immunization/Pages/facts.aspx;https://myhealth.alberta.ca/Health/aftercareinformation/pages/conditions.aspx?hwid=acn5578;https://myhealth.alberta.ca/Alberta/pages/Substance-use-caffeine.aspx;https://myhealth.alberta.ca/Alberta/pages/Substance-use-caffeine.aspx;https://myhealth.alberta.ca/Alberta/Pages/High-Levels-of-Fluoride-in-Drinking-Water.aspx
poison.org,5,https://www.poison.org/articles/essential-oils;https://www.poison.org/articles/tea-tree-oil;https://www.poison.org/articles/do-fillings-cause-mercury-poisoning;https://www.poison.org/articles/do-fillings-cause-mercury-poisoning;https://www.poison.org/articles/pool-chemical-safety-192
ubiehealth.com,5,https://ubiehealth.com/doctors-note/lavender-oil-sleeps-aromatherapy-nervous-system-2751q1;https://ubiehealth.com/doctors-note/health-risks-obesity;https://ubiehealth.com/doctors-note/how-much-protein-in-egg-realities-medical-steps-5723e4;https://ubiehealth.com/doctors-note/protein-in-eggs-enough-body-stalls-medical-42-tips;https://ubiehealth.com/doctors-note/raw-eggs-salmonella-risks
epa.ie,5,https://www.epa.ie/environment-and-you/radiation/emf/what-is-emf/radiofrequency-fields-/5g---new-rf-technologies/5g-exposure-and-guidelines/;https://www.epa.ie/environment-and-you/radiation/emf/emf-and-your-health/wifi-and-your-health/;https://www.epa.ie/environment-and-you/radiation/emf/emf-and-your-health/wifi-and-your-health/;https://www.epa.ie/publications/monitoring--assessment/noise/Wind_Turbine_web.pdf;https://www.epa.ie/publications/research/environment--health/nanotechnology-environmental-and-human-health-impacts.php
study.com,5,https://study.com/academy/lesson/human-cloning-ethical-issues-legality.html;https://study.com/academy/lesson/human-cloning-ethical-issues-legality.html;https://study.com/academy/lesson/web-application-hacking-vulnerabilities-attacks.html;https://study.com/academy/lesson/web-application-hacking-vulnerabilities-attacks.html;https://study.com/learn/lesson/overconsumption-vs-overpopulation.html
