topic,query_type,query,page,position,url,domain,title,timestamp
vaccines,neutral,vaccine facts,1,5,https://www.ema.europa.eu/en/human-regulatory-overview/public-health-threats/vaccine-preventable-diseases-key-facts,ema.europa.eu,Vaccine-preventable diseases: key facts - EMA,2026-05-09 15:43:27
vaccines,neutral,vaccine facts,1,6,https://www.letsgetrealaboutvaccines.org/,letsgetrealaboutvaccines.org,Get the Facts | Let's Get Real,2026-05-09 15:43:28
vaccines,neutral,vaccine facts,1,9,https://immunisationcoalition.org.au/diseases/immunisation-facts/,immunisationcoalition.org.au,Immunisation Facts,2026-05-09 15:43:31
vaccines,neutral,vaccine facts,1,10,https://www.gavi.org/about-us/our-impact/facts-and-figures,gavi.org,Facts and figures,2026-05-09 15:43:32
vaccines,neutral,vaccine facts,2,2,https://ourworldindata.org/covid-vaccinations,ourworldindata.org,Coronavirus (COVID-19) Vaccinations,2026-05-09 15:43:38
vaccines,neutral,vaccine facts,2,4,https://www.tuftsmedicine.org/about-us/news/vaccines-fact-vs-fiction,tuftsmedicine.org,Vaccines: Fact vs. Fiction,2026-05-09 15:43:39
vaccines,neutral,vaccine facts,2,5,https://vaccineknowledge.ox.ac.uk/home,vaccineknowledge.ox.ac.uk,Home | Vaccine Knowledge Project,2026-05-09 15:43:39
vaccines,neutral,vaccine facts,2,7,https://myhealth.alberta.ca/Topic/Immunization/Pages/facts.aspx,myhealth.alberta.ca,Immunization and vaccine facts,2026-05-09 15:43:40
vaccines,neutral,vaccine facts,2,8,https://www.healthychildren.org/English/safety-prevention/immunizations/Pages/vaccine-studies-examine-the-evidence.aspx,healthychildren.org,Vaccine Safety: Examine the Evidence,2026-05-09 15:43:40
vaccines,neutral,vaccine facts,3,3,https://www.sanofi.com/en/our-science/therapeutic-areas/vaccines-and-infectious-diseases,sanofi.com,Maintaining Healthy Communities with Our Vaccines,2026-05-09 15:43:47
vaccines,neutral,vaccine facts,3,4,https://www.texaschildrens.org/departments/center-vaccine-awareness-and-research/vaccine-facts-and-myths,texaschildrens.org,Vaccine Awareness and Research (CVAR),2026-05-09 15:43:48
vaccines,neutral,vaccine facts,3,5,https://www.aap.org/en/news-room/fact-checked/?srsltid=AfmBOoreCCZpHT-evlk0XSD6C8NdK4keJMIpGkdj00DVU6jojQzVyrDC,aap.org,Fact Checked,2026-05-09 15:43:48
vaccines,neutral,vaccine facts,3,6,https://www.vaccineinformation.org/,vaccineinformation.org,VaccineInformation.org | Vaccination Saves Lives!,2026-05-09 15:43:48
vaccines,neutral,vaccine facts,3,7,https://www.futurelearn.com/info/courses/prison-health-vaccinations-for-people-working-and-living-in-prisons-non-vaccine-trained-staff-/0/steps/376974,futurelearn.com,Ten Key Vaccine Facts,2026-05-09 15:43:49
vaccines,neutral,vaccine facts,3,8,https://www.immunize.org/vaccines/vis/about-vis/,immunize.org,Vaccine Information Statements (VISs) Overview,2026-05-09 15:43:49
vaccines,slanted,vaccine scam,1,1,https://cfa.nhs.uk/fraud-prevention/COVID-19-guidance/COVID-19-vaccine-fraud,cfa.nhs.uk,COVID-19 vaccine fraud,2026-05-09 15:44:04
vaccines,slanted,vaccine scam,1,4,https://content.naic.org/article/consumer-alert-how-avoid-covid-19-vaccine-scams,content.naic.org,How to Avoid COVID-19 Vaccine Scams,2026-05-09 15:44:05
vaccines,slanted,vaccine scam,1,5,https://assets.publishing.service.gov.uk/media/60115985d3bf7f05c06dfc7b/poster-guide-be-alert-to-vaccine-fraud.pdf,assets.publishing.service.gov.uk,COVID-19: VACCINE FRAUD,2026-05-09 15:44:05
vaccines,slanted,vaccine scam,1,6,https://www.scamwatch.gov.au/about-us/news-and-alerts/browse-news-and-alerts/covid-19-scams/covid-19-vaccination-scams,scamwatch.gov.au,COVID-19 vaccination scams,2026-05-09 15:44:06
vaccines,slanted,vaccine scam,1,7,https://www.bmj.com/content/383/bmj.p2308,bmj.com,Surgeon who repeated false claims about covid and ...,2026-05-09 15:44:06
vaccines,slanted,vaccine scam,1,8,https://www.safemedicines.org/covid-vaccine-scams,safemedicines.org,COVID-19 Vaccine Scams,2026-05-09 15:44:06
vaccines,slanted,vaccine scam,1,9,https://ujces.org/blog/covid-19-vaccine-scam,ujces.org,"How to Spot, Avoid and Report a Covid-19 Vaccine Scam",2026-05-09 15:44:07
vaccines,slanted,vaccine scam,2,2,https://www.weatherbys.bank/help-and-support/latest-scams/scam-alert-fake-covid-19-vaccine-texts-and-calls/,weatherbys.bank,Scam alert: Fake COVID-19 vaccine texts and calls - Weatherbys,2026-05-09 15:44:13
vaccines,slanted,vaccine scam,2,4,https://www.mala.se/media/gh5l5onr/engelska-informationsbrev-bedragerier-vaccination.pdf,mala.se,Beware of vaccine scams,2026-05-09 15:44:14
vaccines,slanted,vaccine scam,2,5,https://www.doj.state.or.us/wp-content/uploads/2021/03/How_to_Spot_a_COVID_Vaccine_Scam_3-2021.pdf,doj.state.or.us,Spotting a COVID-19 Vaccine Scam,2026-05-09 15:44:14
vaccines,slanted,vaccine scam,2,6,https://www.lowyinstitute.org/the-interpreter/blockchain-solution-covid-19-vaccine-scams,lowyinstitute.org,A blockchain solution to Covid-19 vaccine scams,2026-05-09 15:44:14
vaccines,slanted,vaccine scam,2,8,https://www.bbc.co.uk/news/business-58029113,bbc.co.uk,'Covid vaccine scammers nearly got me',2026-05-09 15:44:15
vaccines,slanted,vaccine scam,3,1,https://www.phauk.org/vaccines/vaccine-fraud-be-aware-of-scams/,phauk.org,Vaccine fraud: Be aware of scams - PHA UK,2026-05-09 15:44:21
vaccines,slanted,vaccine scam,3,2,https://www.bradfordhospitals.nhs.uk/covid-19-vaccination-scam/,bradfordhospitals.nhs.uk,Coronavirus (COVID-19) vaccination scam – be extra vigilant,2026-05-09 15:44:22
vaccines,slanted,vaccine scam,3,4,https://www.kff.org/health-information-trust/volume-04/,kff.org,Pfizer Lawsuit and Debunked Study Undermine COVID-19 ...,2026-05-09 15:44:22
vaccines,slanted,vaccine scam,3,6,https://www.nicb.org/news/blog/covid-19-vaccine-scams,nicb.org,COVID-19 Vaccine Scams,2026-05-09 15:44:23
vaccines,slanted,vaccine scam,3,7,https://www.cnn.com/2021/07/05/india/india-fake-covid-vaccine-scam-intl-hnk,cnn.com,Thousands thought they were getting the Covid vaccine. ...,2026-05-09 15:44:23
vaccines,slanted,vaccine scam,3,8,https://www.tandfonline.com/doi/full/10.1080/21645515.2021.1960770,tandfonline.com,Full article: Fake COVID-19 vaccines: scams hampering ...,2026-05-09 15:44:24
vaccines,neutral,childhood vaccination benefits,1,1,https://www.unicef.org/stories/why-vaccines-matter-children,unicef.org,Facts about vaccines: Why vaccines matter for children,2026-05-09 15:44:40
vaccines,neutral,childhood vaccination benefits,1,6,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(24)00850-X/fulltext,thelancet.com,Contribution of vaccination to improved survival and health,2026-05-09 15:44:43
vaccines,neutral,childhood vaccination benefits,1,7,https://www.mayoclinichealthsystem.org/hometown-health/speaking-of-health/the-facts-about-vaccinations,mayoclinichealthsystem.org,Why childhood vaccines matter,2026-05-09 15:44:43
vaccines,neutral,childhood vaccination benefits,1,8,https://www.healthnz.govt.nz/health-topics/immunisations/benefits-immunisation,healthnz.govt.nz,Benefits of immunisation - Health New Zealand,2026-05-09 15:44:44
vaccines,neutral,childhood vaccination benefits,1,10,https://www.nfid.org/five-important-reasons-to-vaccinate-your-child/,nfid.org,Five Important Reasons to Vaccinate Your Child - NFID,2026-05-09 15:44:45
vaccines,neutral,childhood vaccination benefits,2,2,https://www.queensroadpartnership.co.uk/pages/Importance-of-Childhood-Immunisations,queensroadpartnership.co.uk,Importance of Childhood Immunisations,2026-05-09 15:44:52
vaccines,neutral,childhood vaccination benefits,2,3,https://www.surjen.com/blog-details/essential-childhood-vaccines-and-their-benefits,surjen.com,Essential Childhood Vaccines and Their Benefits,2026-05-09 15:44:52
vaccines,neutral,childhood vaccination benefits,2,4,https://www.cima.care/insights/importance-vaccination-global-health-child-wellbeing/,cima.care,The Importance of Vaccination for Child Health & Wellbeing,2026-05-09 15:44:52
vaccines,neutral,childhood vaccination benefits,2,5,https://www.lung.org/blog/child-vaccine-history,lung.org,Revolutionary Medicine: The Importance of Child Vaccines,2026-05-09 15:44:53
vaccines,neutral,childhood vaccination benefits,2,6,https://www.lenmed.co.za/importance-of-childhood-immunisation-and-schedule/,lenmed.co.za,The Importance of Childhood Immunisation & Schedule,2026-05-09 15:44:53
vaccines,neutral,childhood vaccination benefits,2,9,https://www.massgeneral.org/children/primary-care/benefits-of-childhood-vaccines,massgeneral.org,The Benefits of Childhood Vaccines,2026-05-09 15:44:54
vaccines,neutral,childhood vaccination benefits,3,2,https://www.healthychildren.org/English/safety-prevention/immunizations/Pages/vaccine-studies-examine-the-evidence.aspx,healthychildren.org,Vaccine Safety: Examine the Evidence,2026-05-09 15:45:01
vaccines,neutral,childhood vaccination benefits,3,4,https://blog.compassrosebenefits.com/the-importance-of-childhood-vaccines,blog.compassrosebenefits.com,The Importance of Childhood Vaccines - Compass Rose Blog,2026-05-09 15:45:01
vaccines,neutral,childhood vaccination benefits,3,6,https://www.health.gov.au/childhood-immunisation/your-questions-answered,health.gov.au,Your questions answered | Childhood immunisation,2026-05-09 15:45:02
vaccines,neutral,childhood vaccination benefits,3,7,https://hchdst.org/the-benefits-of-immunization-for-children/,hchdst.org,The Benefits Of Immunization For Children,2026-05-09 15:45:02
vaccines,neutral,childhood vaccination benefits,3,8,https://bvhealthsystem.org/media-center/the-benefits-of-vaccinating-newborns-and-children,bvhealthsystem.org,The Benefits of Vaccinating Newborns and Children,2026-05-09 15:45:03
vaccines,neutral,childhood vaccination benefits,3,9,https://www.healthlinkbc.ca/health-library/immunizations/children/reasons-immunize-your-child,healthlinkbc.ca,Reasons to immunize your child,2026-05-09 15:45:03
vaccines,slanted,childhood vaccination risks,1,4,https://www.healthychildren.org/English/safety-prevention/immunizations/Pages/vaccine-studies-examine-the-evidence.aspx,healthychildren.org,Vaccine Safety: Examine the Evidence,2026-05-09 15:47:06
vaccines,slanted,childhood vaccination risks,1,5,https://science.org.au/our-focus/science-everyone/science-immunisation/4-are-vaccines-safe,science.org.au,4. Are vaccines safe?,2026-05-09 15:47:06
vaccines,slanted,childhood vaccination risks,1,7,https://www.unicef.org/stories/why-vaccines-matter-children,unicef.org,Facts about vaccines: Why vaccines matter for children,2026-05-09 15:47:08
vaccines,slanted,childhood vaccination risks,1,8,https://www.ecdc.europa.eu/en/infectious-disease-topics/related-public-health-topics/immunisation-and-vaccines/faq-children,ecdc.europa.eu,Questions and answers on childhood vaccination - ECDC,2026-05-09 15:47:09
vaccines,slanted,childhood vaccination risks,1,10,https://bmjopen.bmj.com/content/9/9/e029794,bmjopen.bmj.com,Early childhood vaccination and subsequent mortality or ...,2026-05-09 15:47:11
vaccines,slanted,childhood vaccination risks,2,1,https://bmjopen.bmj.com/content/9/9/e029794,bmjopen.bmj.com,Early childhood vaccination and subsequent mortality or ...,2026-05-09 15:47:18
vaccines,slanted,childhood vaccination risks,2,2,https://vaccineknowledge.ox.ac.uk/vaccine-side-effects,vaccineknowledge.ox.ac.uk,Vaccine safety and side effects,2026-05-09 15:47:19
vaccines,slanted,childhood vaccination risks,2,3,https://www.immunize.ca/sites/default/files/resources/67e.pdf,immunize.ca,The risks of immunizing children often outweigh the benefits,2026-05-09 15:47:19
vaccines,slanted,childhood vaccination risks,2,5,https://www.londonvaccinationclinic.co.uk/blog/pros-and-cons-of-vaccines-london-vaccination-clinic/,londonvaccinationclinic.co.uk,Pros and Cons of Vaccines | London ...,2026-05-09 15:47:20
vaccines,slanted,childhood vaccination risks,2,6,https://kidswellhealth.com/what-are-the-side-effects-of-baby-vaccinations/,kidswellhealth.com,What are the side effects of baby vaccinations?,2026-05-09 15:47:20
vaccines,slanted,childhood vaccination risks,2,8,https://www.merckmanuals.com/home/children-s-health-issues/vaccination-of-children/childhood-vaccination-concerns,merckmanuals.com,Childhood Vaccination Concerns - Children's Health,2026-05-09 15:47:20
vaccines,slanted,childhood vaccination risks,2,10,https://caringforkids.cps.ca/handouts/immunization/when-parents-choose-not-to-vaccinate-risks-and-responsibilities,caringforkids.cps.ca,When parents choose not to vaccinate: Risks and ...,2026-05-09 15:47:21
vaccines,slanted,childhood vaccination risks,3,1,https://www.health.gov.au/childhood-immunisation/your-questions-answered,health.gov.au,Your questions answered | Childhood immunisation,2026-05-09 15:47:27
vaccines,slanted,childhood vaccination risks,3,3,https://www.gavi.org/vaccineswork/do-multiple-vaccines-overload-childs-immune-system-heres-what-science-says,gavi.org,Do multiple vaccines overload a child's immune system? ...,2026-05-09 15:47:28
vaccines,slanted,childhood vaccination risks,3,5,https://www.betterhealth.vic.gov.au/health/healthyliving/immunisation-side-effects,betterhealth.vic.gov.au,Immunisation – side effects,2026-05-09 15:47:28
vaccines,slanted,childhood vaccination risks,3,6,https://www.childrenscolorado.org/just-ask-childrens/articles/vaccines/,childrenscolorado.org,The Truth About Vaccines: What Parents Need to Know,2026-05-09 15:47:28
vaccines,slanted,childhood vaccination risks,3,8,https://www.unicef.org/indonesia/parenting-village/health/stories/7-consequences-and-risks-not-getting-your-child-routinely-vaccinated,unicef.org,7 consequences and risks of not getting your child routinely ...,2026-05-09 15:47:30
vaccines,neutral,flu shot effectiveness,1,2,https://www.ecdc.europa.eu/en/news-events/early-estimates-seasonal-influenza-vaccine-effectiveness-against-influenza-requiring,ecdc.europa.eu,Early estimates of seasonal influenza vaccine effectiveness ...,2026-05-09 15:47:53
vaccines,neutral,flu shot effectiveness,1,5,https://www.medrxiv.org/content/10.1101/2025.01.30.25321421v3,medrxiv.org,Effectiveness of the Influenza Vaccine During the 2024- ...,2026-05-09 15:48:00
vaccines,neutral,flu shot effectiveness,1,8,https://www.nejm.org/doi/full/10.1056/NEJMoa2509907,nejm.org,High-Dose Influenza Vaccine Effectiveness against ...,2026-05-09 15:48:02
vaccines,neutral,flu shot effectiveness,1,9,https://historyofvaccines.org/blog/timing-your-flu-shot-science-behind-when-get-vaccinated/,historyofvaccines.org,Timing Your Flu Shot: The Science Behind When to Get ...,2026-05-09 15:48:03
vaccines,neutral,flu shot effectiveness,2,2,https://www.immunizationmanagers.org/what-to-know-about-the-effectiveness-of-the-influenza-vaccine-during-the-2024-2025-respiratory-viral-season-study/,immunizationmanagers.org,What To Know About the Effectiveness of the Influenza ...,2026-05-09 15:48:10
vaccines,neutral,flu shot effectiveness,2,4,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2826553,jamanetwork.com,Estimated Effectiveness of Influenza Vaccines in ...,2026-05-09 15:48:11
vaccines,neutral,flu shot effectiveness,2,8,https://immunisationhandbook.health.gov.au/contents/vaccine-preventable-diseases/influenza-flu,immunisationhandbook.health.gov.au,Influenza (flu) | The Australian Immunisation Handbook,2026-05-09 15:48:12
vaccines,neutral,flu shot effectiveness,2,10,https://www.verywellhealth.com/flu-vaccine-effectiveness-5211793,verywellhealth.com,"Flu Vaccine Effectiveness: Facts, Types, Duration",2026-05-09 15:48:12
vaccines,neutral,flu shot effectiveness,3,1,https://www.bmj.com/content/393/bmj.s895,bmj.com,Moderna's mRNA flu vaccine outperforms standard shot ...,2026-05-09 15:48:19
vaccines,neutral,flu shot effectiveness,3,2,https://www.verywellhealth.com/flu-vaccine-effectiveness-5211793,verywellhealth.com,"Flu Vaccine Effectiveness: Facts, Types, Duration",2026-05-09 15:48:19
vaccines,neutral,flu shot effectiveness,3,3,https://phw.nhs.wales/news/new-study-demonstrates-effectiveness-of-flu-vaccine-in-children/,phw.nhs.wales,New study demonstrates effectiveness of flu vaccine in children,2026-05-09 15:48:20
vaccines,neutral,flu shot effectiveness,3,5,https://www.goodrx.com/conditions/flu-vaccination/flu-shot-effectiveness-does-it-work?srsltid=AfmBOor_uqxTHjZY_0lX-0Dkxt6tOAIcKAQf4q0kb5W2lmp_Tz33rzGb,goodrx.com,Does the Flu Shot Work?,2026-05-09 15:48:21
vaccines,neutral,flu shot effectiveness,3,8,https://qz.com/moderna-mrna-flu-vaccine-phase-3-trial-fda-decision-050826,qz.com,Moderna mRNA flu vaccine beats standard shot in phase 3 trial,2026-05-09 15:48:22
vaccines,slanted,flu shot side effects,1,1,https://www.osfhealthcare.org/blog/flu-shot-side-effects-whats-normal-and-when-to-call-your-doctor,osfhealthcare.org,Flu Shot Side Effects: What's Normal and When to Call ...,2026-05-09 15:48:32
vaccines,slanted,flu shot side effects,1,4,https://www.mdanderson.org/cancerwise/flu-shot-side-effects-and-how-to-manage-them.h00-159701490.html,mdanderson.org,Flu shot side effects and how to manage them,2026-05-09 15:48:39
vaccines,slanted,flu shot side effects,1,6,https://www.tewantinmedicalcentre.com.au/flu-shot-side-effects-managing-flu-like-symptoms,tewantinmedicalcentre.com.au,Flu Shot Side Effects: Managing Flu-Like Symptoms,2026-05-09 15:48:44
vaccines,slanted,flu shot side effects,1,7,https://blog.ochsner.org/articles/what-are-the-flu-shot-side-effects/,blog.ochsner.org,What Are the Flu Shot Side Effects for the 2025-2026 Flu ...,2026-05-09 15:48:45
vaccines,slanted,flu shot side effects,1,8,https://www.boystownhospital.org/knowledge-center/flu-shot-benefits-side-effects,boystownhospital.org,Flu Shot Benefits and Side Effects,2026-05-09 15:48:46
vaccines,slanted,flu shot side effects,1,9,https://healthclinics.superdrug.com/flu-jab-side-effects/,healthclinics.superdrug.com,Flu Jab Side Effects,2026-05-09 15:48:46
vaccines,slanted,flu shot side effects,2,1,https://www.safeway.com/health/blog/flu-shot-myths.html,safeway.com,Can the Flu Shot Make You Sick?,2026-05-09 15:48:53
vaccines,slanted,flu shot side effects,2,2,https://www.goodrx.com/fluzone-quadrivalent/fluzone-quadrivalent-side-effects?srsltid=AfmBOop733jshjn4vNlVuf8KPNsOlp8Pz8XywnfTMINvujHzhPoxh1Cf,goodrx.com,Common and Rare Side Effects of the Flu Vaccine,2026-05-09 15:48:53
vaccines,slanted,flu shot side effects,2,3,https://corporatecare.com.au/flu-vaccination/flu-vaccine/flu-vaccine-side-effects/,corporatecare.com.au,Flu Vaccine Side Effects and Reactions,2026-05-09 15:48:53
vaccines,slanted,flu shot side effects,2,4,https://my.clevelandclinic.org/health/drugs/18888-influenza-vaccine-injection,my.clevelandclinic.org,Influenza Vaccine: Benefits & Side Effects,2026-05-09 15:48:54
vaccines,slanted,flu shot side effects,2,5,https://vaccinelaw.com/vaccine-side-effects/flu-vaccine-attorney/,vaccinelaw.com,Vaccine Injury and Death | Pain After Flu Shot - Leah Durant,2026-05-09 15:48:54
vaccines,slanted,flu shot side effects,2,6,https://www.health.gov.au/topics/immunisation/vaccines/influenza-flu-vaccine?language=en,health.gov.au,Influenza (flu) vaccine | Australian Government ...,2026-05-09 15:48:54
vaccines,slanted,flu shot side effects,2,7,https://www.pasadenauc.com/flu-shot-side-effects/,pasadenauc.com,Flu Shot Side Effects: How to Manage Flu-Like Symptoms,2026-05-09 15:48:55
vaccines,slanted,flu shot side effects,2,8,https://pharmeasy.in/blog/vaccine-flu-shot-side-effects-duration-common-reactions-ways-to-feel-better/,pharmeasy.in,"Flu Shot Side Effects: Duration, Common Reactions & ...",2026-05-09 15:48:55
vaccines,slanted,flu shot side effects,2,9,https://healthify.nz/medicines-a-z/i/influenza-vaccine-adults,healthify.nz,Influenza vaccine – adults,2026-05-09 15:48:55
vaccines,slanted,flu shot side effects,3,1,https://healthify.nz/medicines-a-z/i/influenza-vaccine-adults,healthify.nz,Influenza vaccine – adults,2026-05-09 15:49:01
vaccines,slanted,flu shot side effects,3,4,https://www.afcurgentcare.com/medford/blog/how-long-do-flu-shot-symptoms-typically-last-for-3-normal-side-effects-caused-by-the-flu-shot/,afcurgentcare.com,How Long Do Flu Shot Symptoms Typically Last For? 3 ...,2026-05-09 15:49:02
vaccines,slanted,flu shot side effects,3,5,https://www.betterhealth.vic.gov.au/health/healthyliving/flu-influenza-immunisation,betterhealth.vic.gov.au,Influenza (flu) – immunisation,2026-05-09 15:49:02
vaccines,slanted,flu shot side effects,3,7,https://www.health.com/condition/flu/flu-shot-side-effects,health.com,Flu Vaccine Side Effects You Should Know,2026-05-09 15:49:03
vaccines,slanted,flu shot side effects,3,8,https://www.healthworks.com.au/flu-vaccine-side-effects/,healthworks.com.au,Flu Vaccine Side Effects 2025 - Healthworks,2026-05-09 15:49:03
vaccines,neutral,hpv vaccine effects,1,2,https://my.clevelandclinic.org/health/treatments/21613-hpv-vaccine,my.clevelandclinic.org,"HPV Vaccine: Age, Schedule, Importance & Side Effects",2026-05-09 15:49:27
vaccines,neutral,hpv vaccine effects,1,4,https://www.hpvvaccine.org.au/hpv-vaccine/hpv-vaccine-safety-and-side-effects,hpvvaccine.org.au,HPV vaccine safety and side effects,2026-05-09 15:49:28
vaccines,neutral,hpv vaccine effects,1,6,https://www.hpv.org.nz/hpv-prevention/hpv-vaccine-side-effects,hpv.org.nz,HPV Vaccine Side Effects | Most Common Is Soreness ...,2026-05-09 15:49:32
vaccines,neutral,hpv vaccine effects,1,8,https://www.hpvworld.com/articles/hpv-vaccine-hesitancy-in-europe-side-effects-uncertainty-and-mistrust/,hpvworld.com,"HPV vaccine hesitancy in Europe: side effects, uncertainty, ...",2026-05-09 15:49:33
vaccines,neutral,hpv vaccine effects,1,9,https://healthclinics.superdrug.com/hpv-vaccine-side-effects/,healthclinics.superdrug.com,HPV Vaccine Side Effects,2026-05-09 15:49:34
